stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,pronephros,somites
  3-4,0,112.93,0,0,0,0,0,0,0
  5-6,7.2,46.33,0,0,0,0,0,0,0
  7-9,0,0,0,0,50.31,0,12.16,0,0
 10-12,0,7.14,5.03,16.36,110.02,5.79,23.23,11.28,3.24
