stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.36,0,6.53,151.53,254.59,0,15.51,0,83.65,0,6.26,22.61,16.92,0,4.52,0,0.92,0,0,210.28,0,0,464.16,221.19,1429.45,1,7.55,21.82,0,2.13,0.91,1275.89,8.57,113.02,2757.23,68.35,0,0,89.34,0,0
 24-34,0,1.45,1.5,90.27,19.23,0,26.94,5.09,236.54,0.76,13.14,2.67,26.49,0,1.12,0,0.93,0,0,463.12,1.55,0.81,335.65,356.37,129.04,6.54,16.47,0,2.91,11.72,0,4.63,3.65,15.38,285.34,46.44,0,0,188.05,0,1.04
 36-46,0,0,0.61,35.82,0,0,43,10.8,81.94,6.59,24.37,3.37,25.95,0,0,1.81,0,8.36,0,849.49,3.62,7.38,338.36,698.07,38.61,2.86,9.94,0,0,18.03,0,1.63,1.25,19.58,2.42,80.38,0,10.02,58.45,0,10.09
 48-58,0,0,1.29,46.06,1.17,0,53.26,9.52,60.4,37.95,15.1,0.38,11.71,0.96,0,0.91,1.49,3.59,0.58,1148.54,0,10.02,225,694.16,8.24,0,23.13,3.66,1.21,21.72,0,0,2.4,0.85,0,92.19,0,5.03,54.42,0,2.97
 60-70,0,0,0,40.48,0,0,68.27,4.02,75.56,25.61,38.03,5.19,11.34,0,2.48,0,4.64,0.86,0,1676.11,0,10.34,156.59,875.22,15.62,2.66,18.23,0.81,14.42,8.67,0,0,1.22,0.73,0,171.67,0,16.82,12.13,10.75,0
 72-82,0,3.14,0.75,41.31,6.91,0.76,118.44,16.49,37.61,32.07,109.58,5.76,24.45,0,0,4.3,2.71,0,10.97,2155.86,0.77,28.69,137.2,782.86,2.86,1.49,26.14,0,17.42,4.78,0,0,1,0,0,98.89,4.16,29.83,32.76,21.66,3.14
 84-94,0,2.97,0,89.61,0.55,0,130.32,2.15,44.77,26.86,80.04,24.74,21.7,1.58,2.22,3.28,0,8.29,8.93,1807.82,0,50.31,88.86,432.16,15.56,0,26.16,0,7.3,7.9,0,0,3.54,2.29,0,53.23,3.66,25.26,52.91,11.99,0.62
 96-106,0,1.53,0,80.38,12.01,0,111.41,0.89,47.68,28.13,96.7,16.46,18.17,0,6.22,0.63,5.53,5.54,1.99,1751.98,0,34.93,79.81,521.59,7.21,2.78,51.9,0,20.97,5.01,0,0,5.15,0,0,20.24,6.3,43.96,42.98,33.74,6.84
108-118,0,0,2.35,64.94,1.44,0,98.93,0.58,87.5,30.88,127.05,24.09,13.42,3.49,2.43,1.5,2.86,7.78,3.85,1877.26,2,52.41,93.31,485.64,10.05,4.97,48.66,0,44.93,0,0,0,6.89,0,0,19.95,13.87,19.37,44.11,20.5,0.85
120,0,0,8.01,44.95,0,0,55.47,0,33.01,8.68,98.65,29.58,16.35,0,0,4.53,3.82,25.27,0,1508.48,2.21,20.52,64.43,504.33,26.67,11,64.39,0,42.41,1.97,0,0,1.26,0,0,13.01,10.8,16.54,28.31,43.43,0
