stage,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0.97,0,0,0,0,0,0
 24-34,0,0,0,0,0.91,6.26,0,0.73,0,0,0,0
 36-46,0,1.07,1.69,1.29,0,3.95,0.78,0,0,4.18,0,0
 48-58,0,0.63,1.13,0.45,0,10.69,0,0,0,1.09,0,1.12
 60-70,0,3.01,0,0.69,1.39,2.95,0,0,0,2.73,0,0
 72-82,0,0,0,1.37,0,1.17,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.7,0,0,1.74,0,0,0
 96-106,0,2.22,4.25,1.06,0,0,0,0,0,0,0,0
108-118,0.52,4.23,3.8,0,0,2.91,0,0,0.46,0,0,0
120,0,0,0,0,0,0,0,0,0,0,4.69,0
