stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,1.32,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,1.47,0,0,0,0.39,0,0,0,0,0,0,0,0,2.63,14.5,0
 60-70,0,0,0,0,0,0,0,39.58,0.63,0,0,0,0,0,0,0,6.82,0,99.73,0,1.47,0,0,0,1.53,0,0,1.31,0,137.22,27.2,410.23
 72-82,2.14,0,0,61.4,0,2.39,0,159,0,0,1.49,0,0,0,3.49,0,20.04,0,74.35,0.59,26.31,0,1.33,0,0,2.6,0,4.75,3.4,347.75,46.22,1483.99
 84-94,13.85,13.78,0,88.96,1.12,0,0,166.4,0,4.81,0,0,0,0,0,0,49.68,5.77,123.44,2.9,38.37,0,0,1.69,0,2.98,0,0,0,438.33,11.25,2669.2
 96-106,1.91,13.59,1.98,122.96,0,0.74,8.16,185.03,0,0,1.97,4.72,2.77,0,0,0,44,0,119.19,16.43,31.05,0,0.59,5.6,2.57,15.74,0,5.24,0,553.74,47.54,3972.34
108-118,5.2,7.04,0,133.98,0,2.63,0.6,768.5,0.48,0,0,0,2.31,3.04,9.52,0,117.77,8.15,138.22,10.46,47.4,9.29,2.11,0,40.94,10.58,0,8.04,0,414.42,62.4,2843.25
120,0,20.77,0,36.69,0,0,0,1120.37,3.67,0,0,0,0,0,0,0,40.67,0,66.83,0,56.65,0,0,0,22.83,1.56,0,0,0,579.38,16.37,3491.35
