stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,17.74,114.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.08,382.84,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,7.03,0,0,6.32,0,0,0,0,0,0
  7-9,0,0,11.88,0,0,22.99,0,0,0,0,0,0,0,0,0,122.38,0,0,42.64,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,157.74,0,0,36.99,0,0,26.23,0,0,0,0
 14-21,0,0,0,3.12,0,2.17,0,2.13,0,0,0,0,0,0,0,45.95,0,2.36,0,0,6.4,0,4.05,17.33,0,0
 24-34,0,0,0,0.67,0,6.16,0,0.63,0,0.62,0,5.73,2.54,0,2.06,54.74,0,0,0,0.85,0,0,0.75,8.12,0,2.95
 36-46,0,0,0,0,0,4.88,0,1.58,0,0,0,2.46,1.99,0,1.35,15.19,2.01,0,0,9.14,0,0,0,0,0,1.77
 48-58,0,0,0,0,0,7.19,0.42,0.64,0,0,0.74,25.3,2.4,0,0.95,10.37,0,0,0,0,0,0,0,2.49,0,1.63
 60-70,0,0,0,0,0,4.84,0,2.09,0,0,0,0,0,0.93,0,8.44,0,0.87,0,0,0,0,0,2.42,0,0
 72-82,0,0,0,0,0,4.07,0,1.99,0,0.93,0,1.7,5.8,0,0,13.18,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.27,0,5.26,1.21,0,0,0.76,0,4.59,2.33,0,0,3.48,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,0,1.72,0,2.54,0,0,0,0,2.74,0,0.96,9.82,0,0,0,0,0,0,0,0,0.7,0
108-118,0,0,0,0.48,0.66,1.65,0.45,3.34,0.45,0,0.78,1.07,1.5,0,0,4.71,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
