stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.71,0,0,0,36.24,0,2.19,0,0,0,0,0,0,2.73,385.61,0,0,0,0,0,0.88,0,0,2.28,3.82,0,0,0,0,0,0,0,0,0,0,0,0,120.88,0,0
 24-34,0,0,0,0,4.34,32.37,0,60.99,0,9.12,2.21,1.61,0,0,80.88,2151.44,1.8,0,0,0,0,19.3,0.79,0,7.16,165.69,0.7,0,2.29,0,6.41,0,0,0.66,1.4,31.49,0,0,821.3,0,0
 36-46,0,0,0,0,2.39,12.53,0,74.61,4.74,3.5,3.44,16.96,0,3.2,174.98,4124.23,0,0,0,0,0,38.94,0,0.77,7.11,160.05,0,4.43,1.33,0,19.54,1.17,0,6.82,0,24.75,0,0,1137.49,0,4.49
 48-58,0.39,1.29,0,0,7.58,29.69,0,219.31,0.76,9.26,5.44,43.58,0,1.95,217.33,4234.24,0.49,0,1.51,2.22,0.38,94.19,0,1.09,16.22,218.22,0,0,0.61,0,5.33,0,0,0,0,58.76,0,0,1450.9,0.65,35.81
 60-70,0,0,0,0.68,17.36,33.07,0,238.05,0,23.38,0.81,188.91,0,5.92,232.49,3183.58,17.24,0.6,2.67,10.12,0,289.58,0,3.55,10.76,92.94,1.13,1.02,0,8.16,8.74,0,0,0,0,29.28,0,0,1199.6,0.77,4.73
 72-82,0,0,0,0,42.05,34.76,1.16,222.42,3.39,8.54,11.74,386,1.75,0.55,213.04,3884.53,0.7,0.93,10.19,1.36,4.12,635.77,1.23,5.02,68.68,184.68,0,1.09,3.75,0,4.26,0,4.01,0.55,0,22.26,0,20.7,2590.17,13.6,30.47
 84-94,0.62,0,0,3.99,60.45,26.84,0,306.67,0,4.71,3.17,293.5,10.41,0,226.31,5602.75,0.58,0,4.9,0,1.13,459.56,1.18,36.6,23.04,91.45,0,7.07,1.5,11.31,14.99,0,0,0,0,16.77,1.12,13.81,2409.75,4.73,0
 96-106,0,0,0,0,254.21,213.27,1.52,350.73,1.64,43.78,11.88,456.79,33.12,0,492.9,7165.16,14.54,0.75,22.98,7.56,7.32,1062.72,6,32.4,38.59,330.61,0.74,5.43,2.69,41.11,43,0,13.87,0,0,31.39,0,30.19,3620.32,45.15,3.85
108-118,1.56,0,6.26,3.46,182.21,66.53,7.43,260.76,1.13,27.97,6.72,548.91,9.48,0,240.46,6632.95,24.13,5.86,18.01,10.16,1.35,1002.27,0.75,19.64,53.47,273.96,0,0.47,10.59,24.3,31.33,0,12.04,0,0,9.21,1.11,32.25,3324.32,28.1,1.03
120,0,0,1.37,0,157.3,159.43,0,260.25,18.94,21.91,2.88,557.29,21.7,0,333.88,6835.91,3.06,0,7.77,32.86,0,977.89,1.05,67.88,24.78,426.71,0,2.2,33.36,64.13,32.5,0,0,0,0,0,0,49.21,3585.44,12.2,0
