stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,97.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,104.48,0,0,0,0,0,0,0,0,0,0,0,46.46,0,4.37,0,0,0,0,0,0,0
 10-12,14.17,10.49,0,0,0,416.83,0,0,0,0,0,0,0,0,0,0,0,466.94,0,36.19,0,0,0,0,0,0,0
 14-21,0,0,19.19,1.93,0,35.26,0,0,0,0,0,0,0,0,1.13,0,0,1.44,0,0,1.26,0,0,0,0.89,0,0
 24-34,0,0,1.17,0,0,258.77,0,0,2.04,0,0,0,0,2.05,0,0,0,0.84,0,0,0.68,0.73,1.68,0,0,0,0
 36-46,0,0,0,0,0,199.17,0,0,0,0,0,0,0.7,0,0,0,0,8.59,0.59,0,0,0,1.32,0,0.69,0,0
 48-58,0,0,0,0,0,289.99,0,0,0.63,0,0,0,0,0,1.31,0,2.14,11.68,0,0,0,0,2.56,0,1.51,0,0
 60-70,0,0,0,1.99,0,514.01,0,0,0.81,0,0.78,0,0,0,4.32,0,0,9.74,0,0,0.74,0,0,1.67,0,0,0
 72-82,0,0,3.66,19.73,0,282.28,1.01,1.29,2.8,0,0,0,0,0,5.01,0,0,39.4,0,0,3.62,0,2.42,1.21,0.55,0.85,0
 84-94,0,0,0.82,26.13,0,664.21,0,0,3.29,0,0,2.34,3.06,10.18,3.87,0,0,35.35,0,0,2.74,0,0,0,0,0,8.86
 96-106,0,0,4.27,20.52,2.06,568.86,0,0,4.8,0.68,0,0,0,0,5.52,0,1.51,11.79,3.05,0,0.68,0,0,0,4.23,0,0
108-118,0,0,4.1,3.29,4.71,700.16,0,1.13,0,0,0,0.67,1.5,0,0.53,0,0,19.05,2.22,0,4.95,0,0,1.62,1.28,0,0
120,0,0,0,32.92,0,162.93,0,0,0,0,0,1.61,0,0,5.73,4.76,0,24.76,0,0,0,0,1.81,0,0,0,0
