stage,blastomeres,endoderm,exocrine.pancreas,eye,fin.mesenchyme,lateral.line,mesenchyme,neural,otic,presomitic.mesoderm,somites,spinal.cord
  7-9,4.44,0,0,0,0,0,0,6.78,0,0,0,0
 10-12,0,10.2,0,5.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,15.97,0,0.83,0.82,0
 24-34,0,0,0,0,0,0,0,6.92,0,0,0,0
 36-46,0,0,0,1.56,0,0,0,6.61,0,0,0,0
 48-58,0,0,0,0.52,0,0,1.1,2.12,0,0,0,0.43
 60-70,0,0,0,0,0,0,0,4.82,0,0,0,0
 72-82,0,0,0,1.89,0,0.64,0,7.49,0,0,0,0
 96-106,0,0,0,5.39,0,0,1.07,0.81,0.67,0,0,0
108-118,0,0,0.58,0,0,0,0.85,0,0,0,0,0
120,0,0,0,0,1.98,0,0,11.07,0,0,0,0
