stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,43.51,737.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0
  5-6,43.52,667.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,18.59,26.76,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,17.67,0,0,0,6.38,0,0,0,0,0,0,0,147.63,0,0,0,33.58,0,0,0,0,0,0,0
 10-12,0,0,0,7.48,0,0,0,8.66,0,0,0,0,0,0,9.05,0,0,0,0,118.39,0,0,0,18.26,0,0,0,0,0,0,0
 14-21,0,0,0,1.39,1.24,0,0,0.98,0,0,1.7,0,0,0,105.65,0,0,0,1.38,49.23,3.4,0,0,0,12.79,0,16.33,0,0,0,0
 24-34,0,0,0,1.36,0,0,0,0,0,0,2.47,0,0,0,81.81,0,0,0,0,8.14,1.67,0,3.89,0,41.64,4.28,22.43,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,16.39,0,0.66,0,0,9.74,0,1.09,0,0,4,9.46,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.63,4.38,0,0,0,12.51,0.86,0,0,0,0,0,0,0,0,4.89,4.75,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.57,17.14,0,0,0,12.19,0,0,0,0,19.88,0,0,0,0,0,6.24,0,0,0,0,0
 72-82,0,0,1.11,0,0,0,0,13.31,0,0.88,21.7,0,0,0,24.01,0,0,0.78,0,13.14,0,4.56,0,0,0.53,28.02,0,0,0,0.66,0
 84-94,0,0,0,0,0,0,5.26,0,0,0,22.95,0,0.66,0,34.04,0,0,2.3,0,11.98,0,3.34,0,0,4,21.32,0,2.36,0,0,0
 96-106,0,0,0,0,1.43,7.72,4.03,2.81,0,4.93,27.84,0,0,0.7,40.83,7.05,3.35,0,0,9.53,0,0.85,0,0,10.71,6.61,1.8,0,0.78,0,0
108-118,0,0,0,0,0,0,5.53,2.05,0,0,12.87,0,0.73,0,35.27,0,3.96,0,0,20.08,0,0,0,0,8.07,17.95,0,0,0,0,1.42
120,0,0,0,3.17,0,0,5.49,2.89,1.78,0,17.83,0,0,0,65.35,0,0,0,0,3.19,0,0,0,0,0,23.3,0,0,0,0,0
