stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,418.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.7,448.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51,0,0,0,10.29,0,11.11,0,0,0,0,0,0,0,0
  7-9,0,0,19.22,0,0,0,24.44,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,331.52,13.53,0,0,111.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,3.74,0,0,54.48,0,0,0,8.27,0,0,0,0,0,0
 14-21,0,0,0,5.61,0.94,0,1.81,0,0,0,0,2.96,0,0,0,0,0,13.38,0,6.07,0,0,3.22,39.75,0.89,0,0,0.97,0,0,3.51,0,5.02,20,0,0,0,0
 24-34,0,0,0.6,3.61,0,0,5.79,0,0,0,0.66,0,0,0,0,0,0,0,0,13.26,0.7,0,3.63,102.84,0.92,1.81,1.21,0,0,4.13,0,0,2.11,23.89,0,2,0,0
 36-46,0,0,0,8.5,0,0,13.07,0,0,0.64,9.64,0,0,0,0,0,0,0,0,12.73,0,0,2.55,124.67,0,0,0.59,0,0,5.6,0,4.5,0,15.52,0,0,0,0
 48-58,0,0,0,2.21,0,0,23.49,0,0,0,13.02,0,0,0,0,0,0,0,0.4,13.53,0,0,0.78,126.04,0,0,1.13,0,0,10.73,0,0,0,15.65,0,0.91,0,5.28
 60-70,0,0,0,3.15,0,0,48.95,2.44,0,0.72,16.94,0,0,0,0,0,0.77,0,0,16.05,0,0,2.01,111.73,1.31,0,0,0,0,2.58,0,1.06,0,14.04,0,0.75,0,0.97
 72-82,0,0,0,0.53,0,0,109.23,0,0.98,1.14,9.37,3.31,0,0.59,0.61,0,0,0,0,30.64,0.57,0,4.29,138.32,0,1.49,8.28,0,0,0,0,1.58,0,17.04,2.22,1.76,0.59,0
 84-94,0,0,0,3.25,4.59,0,30.15,0.67,0,0,5.05,0,0,1.59,1.56,0,0.81,0,0,25.29,0,0.76,1.4,72,0,0,0,0,0,8.7,0,0,0,5.45,0,3.89,0,0
 96-106,0,0,0,1.95,0,0,7.94,0,0,0.99,5.48,0,0,0.58,0,0,1.1,0.72,0,20.7,0,0,2.02,72.84,0,2.27,1.07,0,6.26,5.26,0,0,0,2.37,1.21,0,0,0
108-118,0,0,0,4.73,0,4.22,23.53,0,1.13,0,7,3.56,0,1.48,0,0.94,0,0,0,16.28,0,1.54,0.5,86.65,0,0,0.91,0,0,4.72,0,0,0,0.47,0,6.26,0,0.65
120,0,0,4.41,2.89,0,0,18.22,0,1.27,0,1.8,0,0,5.97,0,0,0,0,0,35.69,0,0,0,71.16,0,1.32,0,0,0,2.33,0,1.13,0,0,1.46,2.73,0,0
