stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,0,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,34.16,0,0,0,4.35,3.51,0,0,0,0,0,0,0,0
 10-12,0,0,21.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.02,0,0,0,38.75,11.59,0,3.14,0,8.15,0,0,0,0
 14-21,0.89,0,5.92,105.31,0.95,0,0,2.96,0,4.62,0,1.46,0,0,0,8.11,0,0,4.31,5.77,4.75,0,0,0,10.77,13.08,0,2.16,31.65,1.93,0,0,0
 24-34,0,0,5.14,23.76,0,0,0.68,3.8,0,7.81,0,0,0,0.77,1.27,8.46,0,0,1.38,9.63,0,1.18,0,0,46.07,0,0,0,7.79,0,0,0,0.64
 36-46,0,0,0,19.09,0,3.26,0,9.18,0,0.56,0,0,0,1.94,0,6.19,9.75,0,0.58,10.06,4.45,0.87,0,0,163.64,0,0.88,0,0.56,3.37,0,0,2.83
 48-58,0,0,0,16.54,0,1.18,1.33,16.99,0.8,0,0,0,0,1.56,0,0,0,0.43,4.29,2.62,0.46,0,0,0,43.8,0,0,0,0,1.5,0,0.42,1.31
 60-70,0,0,0,26.46,0,4.87,3.41,9.22,0,3.45,0,0,0,0,0,2.42,0,0,0,6,1.01,0.83,3.28,0,39.3,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.6,0,2.68,0,1.97,1.17,1.19,0,0,0,0,1.61,1.81,0,0,0,5.21,0,0,1.32,0,11.1,0,0,0,0,2.18,0,0,0
 84-94,0,0,0,23.99,0,2.2,0,5.38,0,1.78,0,0,0.8,0,0,1.89,0,0,1.02,1.43,0,0.77,2.09,0,33.89,0,0,0,0,3.84,0.71,0,0
 96-106,0,0,0,36.01,0,11.03,0,4.57,0,2.39,0,0,0.85,0.86,0,0.79,0,0,0,4.14,0,0.63,0,0,16.95,0,0,0,0,0,1.14,0,2.19
108-118,0,0,0,34.59,0,0.8,0,7.09,0,1.2,0,0,1.42,0,0,0.85,0,0,0,11.29,2.27,0,4.47,0,23.34,0,0.48,0,0,0,4.42,0,0
120,0,0,0,25.06,0,0,0,1.56,0,0,0,0,1.65,0,0,1.56,0,0,0,0,0,0,2.09,0,19.82,0,1.22,0,0,0,5.48,21.3,0
