stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste
  3-4,55.21,837.41,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0
  5-6,0,377.38,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0
  7-9,0,0,4.68,0,0,0,0,0,0,0,0,0,81.59,0,40.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,23.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,1.04,3.97,0
 24-34,0,0,0,0,1.15,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.97,0,0,0,0.62,0,8.99,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.52,0,1.41,0,0,0,0,0,19.38,0,0,0,1.52,0,0.62,0
 60-70,0,0,0,0,0,0,0.6,0,0,0,0,0,88.03,0,0,0.78,0,0,2.09,0
 72-82,0,0,0,1.92,10.03,0,1.6,0,0,0,1.34,1.44,68.7,0,0,0,0,0,4.47,0
 84-94,0,0,0,0,7.64,0,1.88,0,0,0,0,0,77.24,0,0,0.71,0,0,1.37,1.03
 96-106,0,0,0,0.79,7.48,0,0,0,0,0,3.95,0,81.31,0,0,0,0,0,1.46,0
108-118,0,0,0,1.42,4.61,0.5,3.97,2.99,1.28,0.95,0,0,147.03,0,0,0,0.61,0,0.47,0
120,0,0,0,2.48,3.11,0,0,0,0,0,0,0,113.63,0,0,0,0,0,0,0
