stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,taste
  5-6,13.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.38,0,0,0
 10-12,0,0,0,0,0,0,0,12.48,0,0,0
 14-21,0,0.86,0,0,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.81,0
 36-46,0,0,1.01,0,0,0,0,0,0,5.75,0
 48-58,0,0,5.29,0,0,0,0.7,0,0,0,0
 60-70,0,0,3.59,0,0,0,8.24,0,0,0.87,2.13
 72-82,0,0,2.67,0.63,0,0,15.28,0,0,1.24,0
 84-94,0,0,12.66,0,0,0,6.31,0,0,0,0
 96-106,0,0,4.14,1.32,1.06,0.59,2.02,0,0,0,1.66
108-118,0,0,4.94,0,0,0,8.34,0,0,0,0
120,0,8.88,26.69,0,0,0,35.06,19.84,0,18.52,0
