stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.9,126.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0
  7-9,0,34.02,0,0,0,4.25,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,77,0,0,3.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16,0,0,13.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.2,0,0,0,0,1.93,0,0,1.45,0,0,0,0,0,0.85,0,0,1.13,21.27,0,0,0,0,5.16,0,1.09,21.01,0,0,0,0,0
 24-34,0,0,0,0.66,0,3.19,0,0,1.83,0,0,0,0,0,0,0,0,9.02,0,0,5.04,200.31,5.43,1.03,0,0,14.18,0,0,79.38,0,0,5.16,0,0
 36-46,0,0,0,0,0,14.48,0,0,4.23,0.95,0,0,0,0,0,0,0.67,9.47,0,2.04,5.16,1133.9,5.41,0,0,0,14.73,0,0,241.43,0,0,0,0,2.83
 48-58,0,0,0,3.57,0,76.87,0,1.99,20.6,0,0,0,0,0,0,0,0,11.95,0,0,0.47,1344.91,1.08,2.47,0,0,4.52,0,0,222.47,0,0,0,0,0
 60-70,0,0,0.62,0.81,0,247.38,0.99,1.32,17.64,0,0,0,0,0,0,0,0,6.17,0,0,0.8,2609.04,3.36,6.95,0,0,1.34,0,0,349.25,0,0,0,0.89,0
 72-82,0,0,1.38,31.89,2.01,327.33,21.39,0,17.18,0.51,1.17,0,0.49,0,2.8,0.79,0,33.11,0.79,2.77,1.62,3432.69,5.23,1.12,0,0.71,0,0,0,456.4,0.71,2,0,0,10.3
 84-94,0,0,0.66,14.22,3.99,296.43,0,5.28,21.51,0.57,0,0,0,0,0,0,0.83,41.2,0,1.71,0.75,2320.86,10.55,4.06,0,0,3.24,0,0,299.61,1.79,0.84,12.67,3.56,10.21
 96-106,0,0,0.95,7.61,0,239.2,0,1.63,28.21,2.52,0,0,3.33,0,0.76,0,0,28.42,0,0,0,1509.58,2.77,16.42,0,6.85,9.32,0,0,118.13,0,0,0,0,0.58
108-118,0,0,0.93,31.1,1.19,303.82,4.02,1.23,20.69,3.13,0,0,4.86,0,0,0.67,0,30.8,0,5.57,2.56,3162.08,2.21,16.23,0,0,8.87,0,0,144.51,1.68,0,6.11,0,4.84
120,0,0,3.73,51.01,0,247.23,1.16,0,17.28,10.73,0,0,8.26,4.13,0,0,0,34.9,0,10.49,1.62,4481.05,0,8.18,0,0,1.05,3.93,0,172.31,0,0,10.52,0,0
