stage,endocrine_pancreas,eye,gut,liver,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,pronephros,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,5.03,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.29,0
 72-82,0,0,0,0.64,1.22,0,0,0,0,0,0
 84-94,0,0,2.59,11.38,0,0,0,0,0,0,0
 96-106,4.22,11.73,1.64,7.94,2.3,0,3.81,0,1.01,0,0
108-118,0,0,0,3.03,0,0,0.75,0,0,0.42,2.74
120,0,0,0,3.28,0,1.45,0,0,0,0,0
