stage,blastomeres,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.34,1.16,0,1.49,0.95,0
 24-34,0,0.71,0,0,0,0,0,2.65,0.85,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,1.11,0,12.74,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.07,0,7.32,0,0,0,0,2.37
 60-70,0,0.79,0,0,0,0,0,0,8.06,0,0,0,0,0
 72-82,0,1.05,12.47,0,0,0,3.03,0.68,11.83,0,0,0,0,0
 84-94,0,0.72,6.92,0,0,0,3.16,0.56,0.93,0,0,0,0,0
 96-106,0,3.06,21.71,0,0,0,3.94,0,2.87,0,0,0,0,0
108-118,0,0,36.36,0,0,3.47,1.82,0.69,3.88,0,0.79,0,0,0
120,0,0,80.7,12.76,1.45,0,0,0,11.58,0,0,0,0,0
