stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord
 14-21,1.99,0,0,0,0,0,0,0,0,2.66,0,0,1.65,0,0,0.91,6.67,1.88
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0
 36-46,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.88,3.22,0,0,0,0,0,1.1,0,0,0,0,0,0,0
 72-82,0,4.48,0,0,0,0.66,0.78,0,0,0,1.02,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.6,0.91,0,0,0,0,0,0,0,0.7,0,0,0,0
 96-106,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,3.17,0,7.87,0.54,0,1.94,0,0.54,0,0,0.69,1.68,3.02,1.18,0.69,0,0,0
120,13.61,0,0,0,1.62,0,0,0,0,0,0,0,0,0,2.27,0,0,17.54
