stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,75.4,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.03,0,0,0,0,0,0,0,0,0
  5-6,20.14,750.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0
  7-9,5.24,10.22,12.46,0,0,22.01,0,0,0,0,0,11.67,0,0,0,0,0,0,0,0,457.66,9.2,0,0,258.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.5,31.48,0,0,0,0,0,0,0,0,10.69,0,0,0,0,0,0,0,0,337.63,16.08,0,0,214.07,0,0,0,4.36,0,0,0,0,0,0
 14-21,0,0,0,1.26,0.9,3.23,0,0,0,0,0.82,0,0,0,0,0,0,4.14,0,3.33,26.36,0,1.23,1.09,0.96,2.34,0,9.07,0.84,0,0.99,7.24,0,0,0
 24-34,0,0,0,6.81,0,6.97,0,0,0.97,0,1.02,0,0.76,0,1.3,0.64,0.63,6.99,0,4.46,133.09,0,1.61,0,0,1.87,0,0,0,1.03,2.25,34.02,0,2.11,1.97
 36-46,0,0,0,0,0,20.66,0,0,0,10.06,0,0,0,0,0,0,1.36,10.47,0,2.55,108.6,0,0,4.59,0,3.62,0,0,0,0,0,37.28,0,0.68,0
 48-58,0,0,0,2.24,0,3.35,0,0,0,4.33,0,0,0,0,0,0,0,5.23,4.54,0,36.71,0,0,0,0,0,0,0,0,2.14,0,11.01,0,0,0
 60-70,0,0,0,0,0,8.95,0,0,0.86,4.93,0,0,0,0.66,0,0,0,5.27,0,0,8.64,0,0,0,0,3.41,0,0,0,0,0,1.26,0,0,0
 72-82,0,0,0,0,0,4.77,0,0,0,1.76,0,0,0.93,0,0,0,0,2.34,0,0,5.2,0,0,0,0,0.96,0,0,0,0,0,0,0.66,0.5,0
 84-94,0,0,0,1.97,0,8.25,0,0,1.39,2.83,0,0,0,0,0,0,0,12.26,0,1.93,9.09,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0
 96-106,0,0,0,0.6,0,2.12,0,0,0,1.24,0,0,0,0,0.95,0,0,1.99,0,0,1.97,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.74,0,0,10.13,0,0,0,0.7,0.45,0,0,0,0,0,0,10.73,0,0.79,9.43,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
120,0,0,0,3.61,0,9.33,1.01,1.01,2.1,15.24,0,0,0,1.75,0,0,1.74,0,0,0,11.19,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0
