stage,blastomeres,epidermis,eye,gut,muscle,neural,otic,periderm,somites,spinal.cord,taste
  3-4,11.78,0,0,0,0,0,0,0,0,0,0
  5-6,13.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.12,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0
 24-34,0,0,0,0,0.61,1.33,0,1.75,0,0,0
 36-46,0,0,0,0,0,0.84,0,0,0,0,0
 48-58,0,0,0,0,0,1.05,0,0,0,0,0
 60-70,0,2.59,0,0,0,0,0,0,0,10.83,0
 72-82,0,8.62,0,0,0,2.48,0.81,0,0,0,0
 84-94,0,18.01,0,0,0,5.69,0,0,0,0,0
 96-106,0,80.09,0.8,0,0,2.02,0,4.99,0,0,0.93
108-118,0,76.08,0,0.92,0.53,1.51,0,2.62,0,0,3.5
120,0,101.56,0,0,0,0,0,3.45,0,0,0
