stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.36,756.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0
  5-6,28.13,393.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.2,6.33,0,9.68,0,0,0,15.75,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,304.8,3.22,0,0,108.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,20.99,0,26.83,0,0,0,41.54,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,288.85,32.66,0,0,63.93,0,0,0,17.12,0,0,0,0,0,0,0
 14-21,0,0,0,6.76,28,3.38,0,20.76,0,1,0,5.64,0.85,0,2.17,0,0,0,0,0,0,15.56,0,0,15.23,205.57,148.68,0,6.44,4.18,0,0,8.65,0,15.4,36.54,97.41,0,1.06,0,0
 24-34,0,0,1.51,0,18.7,3.21,0,53.06,0.72,1.77,0.61,15.36,0,2.27,7.81,0,2,0,1.8,3.17,0.78,94.49,0,0,34.96,1203.59,17.31,3.51,8.41,0,0,1.24,0,2.55,8.89,17.08,280.24,0,19.93,0,0.63
 36-46,0,0,1.68,0,6.1,1.22,0,73.44,0,0,1.51,55.08,0,0,8.01,0,19.13,0.81,0,0,0.86,99.52,0,0.74,19.72,1567.93,10.23,1.99,3.99,0,0,6.76,2.14,5.52,10.87,0,531.78,0,4.3,0,3.87
 48-58,0.58,0,2.65,0,6.68,0,0,109.05,1.63,0,1.73,124.15,0,0,3.29,0.58,6.9,0.4,0,0,1.32,148.9,0.65,2.13,25.87,760.81,3.35,7.04,8.62,0,0.59,0.57,0,0.54,0,0,379.92,0.77,6.35,0,0
 60-70,0,0,2.66,0,2.42,0.76,0,228.6,0,9.83,6.68,70.37,4.56,0,6.96,0,1.72,0.61,1.33,0,6.87,265.35,0,5.78,8.3,456.67,4.75,0.88,5.81,0,0,4.38,0,0,0,0,139.11,6.52,3.4,0.61,2.85
 72-82,0,0,0.91,0,7.1,3.7,0,144.49,0.74,11.83,3.49,103.23,1.41,0,3.68,0,2.95,0.72,0,0,1.36,339.78,0.92,4.62,19.22,306.53,0.73,7.65,13.48,0,5.15,0,0,0,0,0,56.43,4.09,1.47,6.17,13.11
 84-94,0,0,0.7,0,7.27,2.82,0,113.1,0,0.74,11.41,62.41,4.85,0,3.06,0,2.52,1.35,10.59,2.41,7.86,250.59,1.71,22.37,12.63,203.78,6.92,2.63,14.92,0,0.79,0,0,0,0,0,38.86,0.88,9.46,5.6,0
 96-106,0,0,3.51,0,13.38,26.67,3.97,86.4,0,0,3.59,168.64,15.97,0,1.57,0,2.55,12.84,0,0.62,2.1,246.27,2.28,4.57,13.83,153.01,2.95,1.26,26.46,0,1.17,0,0,0,0,0,5.81,7.13,3.83,6.78,15.35
108-118,0,0,6.05,0,2.92,7.48,10.17,108.8,0.54,1.41,8.12,108.93,6.35,0,3.46,1.18,7.79,19.09,0,10.22,5.72,277.52,0.71,2.85,12.46,247.39,15.79,5.53,32.64,0,7.59,0.69,0,3.12,0.48,0,9.84,12.19,15.56,6.08,14.7
120,0,0,14.01,0,13.9,0,3.29,93.58,0,1.49,1.52,113.71,18.76,0,4.21,5.49,4.19,24.53,0,0,1.51,226.15,0,7.16,13.28,219.97,1.77,2.58,10.62,0,0,13.64,0,0,0,0,21.01,16.97,0,1.05,3.58
