stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,200.32,3882.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.33,0,0,0,0,0,0,0,0,0,0
  5-6,325.08,5181.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.17,7.03,0,0,21.56,0,116.04,0,0,0,0,0,0,0,0,0,0
  7-9,653.85,155.93,35.28,0,38.77,62.96,0,0,0,0,0,111.8,0,0,0,0,0,0,0,0,0,0,0,2049.45,272.01,0,0,1733.5,0,4.62,35.15,0,0,0,0,0,0,0,0,0
 10-12,67.88,323.14,308.2,0,315.88,113.69,0,0,0,0,0,86.22,0,0,0,0,0,0,0,0,0,0,7.75,4675.76,349.76,0,0,1132.73,0,0,5.55,17.64,92.5,0,84.73,23.67,0,0,0,0
 14-21,0,0,7.52,135.3,20.52,81.13,0,0,0,0,0,4.04,6.19,0,0,0,0,0,3.5,438.63,0,0,416.54,1901.6,78.18,4,48.85,5.73,0,3.11,0,142.57,2.86,234.86,830.93,562.8,0,1.09,0,10.42
 24-34,0,0,2.32,50.04,0.68,44.62,5.74,0.63,12.02,0,0,1.4,8.11,0,0,0,2.6,0.84,0,358.71,0,2.4,152.44,364.7,31.39,0.77,71.54,0,0,0.61,0,0,0,25.37,146.69,81.4,0,4.13,0,6.36
 36-46,0,0,0,0,1.22,14.67,2.44,0.56,11.65,2.14,0,0,9.33,0,0,0,8.07,0,0,245.94,1.33,3.37,85.72,162.47,32.66,5.18,4.12,0,0,0,0,0,0,2.59,7.01,13.74,0,5.48,0.78,3.12
 48-58,0.58,0,0,6.83,0,35.43,3.19,0.89,28.39,2.51,2.07,0,7.13,0,0,1.9,4.52,0,0,328.66,0,32.9,84.7,138.13,0.87,0.43,8.8,0,1.12,0.5,0,0,0,0.95,0,10.35,0.42,0.63,0,3.67
 60-70,0.81,0,0,7.48,0,7.96,6.19,0,20.51,8.3,0,0,0.69,0,0,3.28,2.76,0,0,293.18,0,28,24.45,103.28,0,0,1.23,0,4.94,0,0,1.38,0,1.58,0,4.49,6.96,0,4.1,1.41
 72-82,0,0,0,11.09,0.59,12.95,11.71,0,51.38,21.61,0,0,3.37,0.85,0,5.47,7.83,0,0,304.46,0,13.18,29.91,74.13,0,0,0,0,11.59,1.53,0,0,0,0,0,1.17,17.37,0,7.29,4.42
 84-94,0,0,0,3.59,0,28.1,10.87,0,19.8,8.73,0,0,9.13,0,0,4.77,6.89,0,0,232.82,0,52.67,19.86,26.72,0,0.7,2.17,0,20.82,2.83,0,0,0,1.2,0,0,13.48,0,7.5,0
 96-106,0,0,0,0.58,0,9.16,7.43,0,16.47,11.81,0.77,0,1.61,1.03,0,7.07,7.41,0,0,257.66,0,18.03,22.72,26.79,0,0,0,0,17.23,4.78,0,0,0,0,0,0,11.07,4.52,12.46,0
108-118,0,0,0,5.33,0,12.19,3.49,0,17.4,8.97,0,0,3.07,0,0.45,0.65,3.62,0,0,249.23,1.08,25.35,20.91,33.58,0,0,2.78,0,32.39,0,0,0,0,0,0,0,2.7,1.09,1.83,0
120,0,0,0,8.95,2.93,15.71,4.03,0,45.73,7.49,3.26,0,0,0,0,4.96,2.6,0,0,253.73,0,9.77,8.13,23.82,0,0,0,0,18.83,8.77,0,0,0,0,0,0,3.55,0,23.85,0
