stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,17.76,0,0,0,6.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,19.64,0,0,8.24,0,0,5.62,5.05,0,0,0,0
 14-21,0,0,1.76,5.24,0,0,0,0,0,0,0,3.53,0,65.19,3.7,0,0,0,0,0,1.28,5.8,150.48,2.02,0,3.29,0
 24-34,0,0,1.39,1.28,0,6.26,0.69,0,0,2.63,0.61,87.74,0,107.95,38.78,0,2.33,0,0,0,0.72,0,22.92,2.79,0,6.61,0
 36-46,0,0,0,0,0,0.73,0.56,0,0,0,0,153.43,0.8,74.99,18.6,0,0,0,0,0,0,0,0,2.87,0,11.52,0
 48-58,0,0,0,0,0,0,1.39,1.98,0,0,0,93.35,1.28,21.63,21.38,0,0,3.51,0,0,0,0,0,0.45,0,0.67,0
 60-70,0,0,0,0.66,0,12.48,0,2.81,0,0,0,81.45,0.91,18.77,10.51,2.62,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,8.16,1.48,2.29,0,1.62,0,0.75,0,55.26,1.24,20.55,15.22,0,0,0,0,0,0,0,0,0,0.99,0.68,1.09
 84-94,0,0,0,6.79,1.26,7.69,0,4.58,0,0,0,45.29,0,17.18,10.37,0,0,6.7,0,0,0,0,0,0,0,0,0.91
 96-106,0,0,0,14.19,4.61,0.7,0,0.66,0,3.96,0,52.79,8.91,15.63,11.35,0,0,2.82,0,3.14,1.47,0,0,0,0,0.56,0
108-118,0,0,0,0,9.13,7.08,0.73,2.13,0,0,0,53.91,11.56,12.27,18.96,0,0.96,9.75,0,0,0,0,0,2.25,0.66,5.73,0
120,0,0,1.72,0,0,17.56,0,0,0,0,0,44.05,2.03,40.19,23.08,0,0,2.55,0,0,0,0,0,0,0,0,0
