stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,49.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,158.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,0,0,0
  7-9,0,7.46,0,0,7.29,0,0,0,0,0,0,0,0,0,0,0,0,55.84,0,0,0,15.15,0,0,0,0,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,29.54,0,0,0,0,0,0,0,0,0,0,0,0,2.64,1.02,0,0,0,0,0,0,0,0,0.83,0,0
 24-34,0,0,145.18,0,1.02,15.69,0,0,1,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,3.04,0.6,0,0,0
 36-46,0,0,72.46,0,0.58,13.55,2.19,0,0,0,0,0,0,0,0,0,0,12.41,0,0.65,0,0,0,0,0,0,0,0
 48-58,0,0,52.27,0,1.33,25.24,0,1.43,0,0,0,0,0,0,0.55,0.38,0,4.99,0,0,0,0,0,0,0,1.86,0,0
 60-70,0,0,46.29,0,0,27.56,0,0,0,0,0,0,0,0,0.75,1.53,0,14.52,0,0,0,0,0,0,0,0,0.61,0
 72-82,0,0,65.25,0,0,19.98,0,5.35,0.65,0,0,1.38,0,0,0.75,0.61,0,7.35,0,1.25,0.81,0,0,0,0,0,0,0
 84-94,0,0,89.14,1.99,1.32,19.98,0,1.21,0,0,0,0.6,0,0,0,0,0,4.62,0,4.92,0.92,0,2.09,0.73,0,0,0,0
 96-106,0,0,101.34,0,2.63,29.37,0,0,1.48,0,0,2.45,0,9.55,2.4,3.07,0,8.76,0,6.46,0,0,0,0,0,0,1.01,1.32
108-118,0,0,126.63,0,4.24,49.27,0,0.78,1.2,3.91,0,0,1.1,0,3.61,1.09,0,5.8,0,1.66,0,0,0,0.42,0,0,1.02,0
120,0,0,98.48,5.33,0,32.41,0,0,0,0,7.64,5.57,2.12,0,12.47,0,0,15.92,3.06,3.22,0,0,0,0,0,0,0,0
