stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,336.62,1.66,0,18.77,0,0,0,0,0,0.86,1.46,0,0,0,0,0.8,0,0,0.91,18.54,0,0,0,0,1.54,0,0.81,0.9,0,0,0,0,0
 24-34,0,475.23,0,0,15.13,0,11.79,0,2.22,0,0,1.45,0,0,0,0,2.94,25.49,0,2.18,69.74,0.89,0,0,0,3.46,0,0,5.54,0,0,5.09,0,1.45
 36-46,0,349.09,0,0,21.35,0,55.11,0,3.78,0,0,0,0,0,0,0,11.92,0,0,0.71,60.27,0,0.6,3.52,0,0.76,0,0,6.71,0,0,12.31,0,8.42
 48-58,0,305.55,0,0,11.48,0.66,43.87,0,4.49,0,0,0,1.43,0,0,1.1,16.15,1.69,0,1.34,90.55,0,0,0,0,3.99,0,0,11.78,0,0,1.99,0,5.83
 60-70,0,377.28,0,0,22.58,0,89.51,0.72,7.89,0,0,0,0,1.3,0,0,8.24,0.74,1.32,0,66.81,0.83,0,1.01,0,1.23,0,0,0.94,0,0,2.59,0,0
 72-82,0,284.4,2.81,0,14.91,0,44.45,0,7.78,1.01,0,0,0,2.2,0.79,0,26.3,3.44,2.6,0.49,75.32,0,0.76,0.54,1.97,2.21,0,0,3.37,1.87,0,2,0.72,9.51
 84-94,0,420.42,0,0,20.8,0,113.1,0,12.33,0.94,0,0,0.65,0,0,0,9.11,7.24,1.22,0,110.64,0,0,0,0,0.55,0,0,7.07,0,0,8.65,0,0
 96-106,0,433,13.15,0,2.46,0,70.52,0,17.63,0,0,0,1.08,20.55,0,0,23.23,5.82,0,0,91.36,0,1.7,0,0,4.25,0,0,0,0,0,17.8,0,2.56
108-118,0.44,563.58,0,0.9,11.51,0,117.23,3.55,21.77,3.54,0,0,0,3.12,0,0.6,35.12,2.84,2.24,3.18,45.91,0,1.46,0,1.84,2.95,0,0,2.76,0.81,0.53,9.58,0,0
120,0,487.6,8.88,0,36.82,5.69,75.31,0,0,4.32,0,0,0,2.5,0,0,10.23,3.82,0,3.33,105.21,0,2.4,0,0,0,2.12,0,0,0,0,15.88,0,0
