stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,0,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0
  5-6,0,70.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96,0,0,0
  7-9,4.22,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,31.17,0,0,3.87,15.21,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.66,0,0,0,0,6.84,0,0
 14-21,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,7.15,0,0,0,0.84,0,8.99,0
 24-34,0,0,0.71,2.34,0,0,0,0,0,0,0,0,0,0,0.96,53.76,0,0,0,4.19,0,10.6,0
 36-46,0,0,0,1.39,2.02,0,0,0,0,0,0,0,0,0,0,56.21,4.6,0,0,7.18,0,5.75,0
 48-58,0,0,0,0,3.6,0.52,0,0,0,0,0,0.88,0.57,0,0,38.05,0.76,0,0,1.08,0,4.77,0
 60-70,0,0,0,8.86,1.49,0,0,0,0,0,0,2.4,0,0,0,94.68,0,0,0,0,0,7.17,0
 72-82,0,0,0,0.56,6.71,1.14,0,0,0.64,4.64,0.68,3.6,1.05,0.74,0,68.77,3.18,0,0,4.66,0,0,0
 84-94,0,0,0,1.11,4.8,1.28,0,0,0.6,1.45,0,0,0,1.91,0,23.02,0,0,0,4.05,0,0,0
 96-106,0,0,0,4.12,9.87,1.99,1.92,1.32,0,0,0,0,0,0,0,37.46,1.08,0,0,3.68,0,0,0.61
108-118,0,0,0,6.31,13.39,0,2.45,0,1.29,1.32,0.66,3.65,0,0,0,31.06,0,0.6,0,4.31,0,0,0
120,0,0,0,1.81,37.52,10.52,0,0,2.27,0,0,2.24,0,0,0,64.82,8.23,0,0,10.84,0,0,0
