stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,24.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,4.19,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,9.49,0,0,0,3.66,0,0,0,0,0,0,0,0,0,87.79,4.6,0,0,11.95,0,0,15.38,0,0,0,0,0,0
 14-21,0,0,0,0,8.13,0,0,0,0,1.84,0,0,0,0.99,0,0,2.23,0,0,0.81,0,0,1.23,0,1.66,4.6,9.54,2.99,0.92,0,0,0,0,0
 24-34,0,0,0,1.99,4.17,0,0,0,0,0,0,0,2.22,0.79,0.78,0.95,0.79,0,0,0,5.54,0,2.97,0,0,3.82,0,0,1.99,2.66,0,2.78,0,0
 36-46,0,0,0,0,1,0,0,0,0,0,0,0,0,2.09,0,0,1.56,0.95,0,0.9,24.05,0,3.33,0,0,7.09,0,0,0,1.56,0,0,0,0
 48-58,0,0,0,0,0,0,0.59,0,0.61,2.33,0,0,0,0,0,0,2.68,0,0,0,23.04,0,0,0,0,5.96,0,0.61,0,0,0,0.46,0,0
 60-70,0,0,0,0,7.38,0.61,1.74,0,0,4.15,0,0,1.59,0.58,1.96,0,0,0,0,0,26.08,0,3.63,1.16,0,5.81,0,0,0,1.16,0,1.08,0,0
 72-82,0,0,0,0,1.5,0,0.65,0,0.63,0.85,0,0,4.99,0.56,0,0,0,0,0,0,17.79,0,0,0.66,0,7.7,0,0.73,0,0,0.5,2.13,0,0
 84-94,0,0,0,0,2.79,5.32,0.6,0,2.4,0,0,0,2.6,1.88,0,0,4.49,0,3.62,1.22,18.09,0,0,0,0,1.32,0,0,0,0,2.04,2.54,0,11.59
 96-106,0,0,0.61,0,7.37,0.77,0,0,0,2.46,0,0,3.57,0,0.58,0,7.71,2.61,0,0,11.68,0,1.84,0,0,10.35,0,0,0,0,0.99,3.97,0,0
108-118,0,0,0,0,4.12,1.45,0.63,1.6,0,7.5,0,1.81,3.29,6.74,0,1.1,2.23,1.29,0,2.26,12.22,0,1.99,0.99,0,18.91,0,0.42,0,0,0.42,7.18,0,0
120,0,0,0,0,13.25,4.05,0,0,2.57,0,0,0,7.61,7.13,0,1.12,30.59,0,0,1.11,9.95,0,0,0,0,2.36,0,1.02,0,0,0,0,4.54,0
