stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.59,119.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.85,0,0,0,0,3.22,0,0,0,0,0,0,39.39,0,0,9.48,0,0,0,0,0,0
 10-12,0,14.25,6.57,0,0,35.6,0,0,0,0,5.94,0,0,0,0,0,0,53.35,7.9,0,42.78,0,0,0,0,0,0
 14-21,0,0,1.03,3.49,1.04,0.89,0,0,0,1.3,0,0,0,0,0,0,0.87,30.34,1.65,0,0.94,0,1.07,0.92,4.19,0,0
 24-34,0,0,0,0.79,0,0,0,0,0.78,0,0,0.65,0,0,8.15,0,3.32,108.19,0,0,0,2.29,0,0,11.33,0,0.62
 36-46,0,0,0,12.4,0,4.94,0,0,0,3.49,0,0,0,0,7.24,0,0.61,116.64,0,0,0,5.19,0,0,15.6,0,0
 48-58,0,0,0,2.64,0,8,0,0,0,5.15,0,0,0,0,7.35,0,0,86.34,0,0,0,0,0,0,15.81,0,0
 60-70,0,0,0,1.26,0,10.86,0,0,0,13.81,0,0,0,0,9.81,0,0,115.23,0,2.6,0,0,0,0,4.24,0,0
 72-82,0,0,0,1.36,1.11,3.4,0,0,0,7.04,0,0,0,0,9.73,0,0,77.8,0,0,0,0,0,0,7.88,0,1.36
 84-94,0,0,0,4.54,0,1.08,3.76,0.8,0,4.39,0.6,0,0,0,24.58,0.57,0,55.95,0,0,0,1.45,0,0,3.95,0,0
 96-106,0,0,0,0,0,1.52,0,0,0,3.45,0,0,0,0,5.77,0,1.1,43.3,0,0.65,0,1.86,0,0,0,1.88,1.82
108-118,0,0,0,0.96,0,0,0,0,0,3.3,0,0,5.15,0,10.08,0,1.83,55.25,0,0.53,0,3.06,0,0,0,0,0
120,0,0,0,1.08,0,18.39,0,0,0,3.39,0,0,0,1.77,0,0,0,149.19,0,13.74,0,5.71,0,0,4.02,0,0
