stage,epidermis,eye,mesenchyme,neural,periderm,spinal_cord
 48-58,0,0,0,0,3.24,0.6
 60-70,0,0,0,0,8.48,0
 72-82,1.9,0,0,4.08,6.85,0
 84-94,0,0,0,0,32.85,0
 96-106,0,0,0,0,18.6,0
108-118,0,0,0.74,0.73,16.06,0
120,1.86,8.61,0,0,3.93,0
