stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,slow.muscle,spinal.cord
  5-6,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,0,0,0,0,0,0,0,7.43,0,3.47,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,20.63,0,0,0,0
 24-34,0,0,11.56,0,0,0,0.9,0,0.91,0,768.87,0,0,0,5.8
 36-46,0,0,0,0.61,0,0,0,0,4.28,0,422.62,2.81,0,0,3.49
 48-58,0,0,0,11.44,0,1.91,5.61,0,1.52,0,150.29,0,0,0.58,1.81
 60-70,0,0,0,0,1.59,0,0,0,3.68,0,140.63,0,0,0,0
 72-82,0,0,0,1.75,0,0,0,0.73,0,0,93.67,0,0,0,1.62
 84-94,0,0,3.27,8.56,0,0,0,0,0.62,0,7.71,0,0,0,0
 96-106,0,0,0,2.91,0,0,0,0,0,0.59,49.33,0,0,0,0
108-118,0,0,0,0,0,0,2.24,0,3.51,0,86.94,0,0,0,0
120,0,0,0,6.11,0,0,0,0,0,0,77.32,0,0,0,0
