stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord
  5-6,8.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.31,0,0
 10-12,0,0,0,0,0,0,0,0,3.29,0,0
 14-21,0,0,1.08,0,0,0,0,0.85,1.62,0,6.01
 24-34,0,0.67,1.22,0,0,0,0,0.78,11.36,0,0.88
 36-46,0,0,0,0.85,0,0,0,0,15.7,0,4.63
 48-58,0,0,0,8.31,0.77,0,0,0.4,9.84,0,3.31
 60-70,0,0,0,4.78,0,0,0,0,4.66,0,0
 72-82,0,1.48,0,0,0,0,1.4,0,0.78,0,1.34
 84-94,0,1.33,0,15.09,0,0,4.56,0,4.56,2.88,0
 96-106,0,0,0,0,0,2.73,2.72,0,2.29,0,0
108-118,0,0,0,5.6,0.56,0,0,0.55,1.1,3.67,0
120,0,0,0,0,0,0,1.35,0,15.51,0,0
