stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,0,0,0,0,0,0,0,0
  5-6,18.2,241.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28.91,0,0,0,0,0,0,0.85,0,0,0,3.02,0,0,20.91,0,0,0,0,0,0,0,0,1.31,4.07,0,0,0,0
 24-34,0,0,0,19.55,0,0,0,0,0.85,0,0,0,0,0,7.19,0,0.6,189.01,0,0,0,0,0,0.84,0,0.65,0,193.18,0,0,0,0
 36-46,0,0,0,14.3,2.81,0,0,0,12.08,0,0.58,0,0,0,3.62,0,0,229.79,0,0,0.72,0,0,0,0,0,0,419.28,0,0,0,0
 48-58,0,0,0,0,0,0,32.15,0,1.61,2.07,0,0,0,1.64,1.84,0,0.73,671.91,0,0,0,0,0,0,0,0,0,244.86,0,0,0,0
 60-70,0,0,0,3.56,0.58,0,53.74,0,0,3.11,0,0,0,3.74,3.9,0,0,1173.07,0,0,0,0,0,1.11,0,0,0,60.32,0,0,0,0
 72-82,0,0,0,28.55,0,0,168.56,0,0,6.05,0.51,0,0.51,0,15.27,0,0,1715.37,0.52,0,0,0,0.77,0,0,0,0,30.75,0,0,0,3.76
 84-94,0,0,5,106.34,8.01,0,231.8,0,2.51,1.06,2.39,0,0,0,14.57,0,0,1381,0,0,0,0,0,0,0,0,0,15.77,0,0,0,6.56
 96-106,0,0,14.34,155.1,10.65,3.15,391.91,1.64,1.25,32.81,3.33,1.19,0.92,8.52,36.04,0,1.39,1512.25,0.97,7.04,0.6,0,0,2.98,0,0,0,97.01,7.03,0,0,0
108-118,0,0,8.13,200.52,0,0,260.49,0,0,69.07,0.44,0,0,0,33.21,1.4,0.49,2600.15,0,0,7.53,0,1.96,0,0.94,0,0,26.95,10.22,2.41,0,0
120,0,0,0,18.3,0,0,346.92,0,0,33.56,0,0,0,0,7.17,0,1.9,3739.84,0,0,7.82,0,0,0,0,0,0,0,0,0,1.41,0
