stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.9,0,0,47.52,23.92,24.39,0,0,0,1.24,0,0,0.92,0,4.87,0,0,0,0,20.12,1.1,0,52.17,185.68,0,0,0,0,0,14.89,1.44,23.17,2.16,1.07,85.22,26.56,0,0,2.54,0,0
 24-34,0,0,0.81,50.79,7.33,197.66,0.86,2.18,8.51,6.78,1.02,0,6.04,0,1.63,1.61,4.18,1.51,0,81.22,1.24,0,75.67,817.71,0,6.16,0.94,1,0,30.26,0,2.19,1.79,0,30.93,111.21,0,0,12.3,0,9.66
 36-46,0,0,0,40.39,0,752.3,15.64,5.07,26.11,14.81,0,0,0,1.03,3.03,0,0,0,0,125.53,0.65,11.59,59.02,1651.05,0.73,9.28,0.57,0,2.47,76.41,0,0,1.31,1.56,0,315.32,0,0,27.2,0,9.54
 48-58,0,0,0.43,50.2,1.54,968.22,13.61,0.45,24.05,38.9,0,0,2.55,0,5.69,0.46,1.57,1.47,0.62,176.11,0,1.79,70.77,1915.66,1.08,11.58,1.82,4.77,1.21,8.91,0,0,6.18,0,0,282.72,0,0,19.14,0,14.45
 60-70,0,0.65,0,61.51,1.87,1243.49,3.21,12.19,20.51,38.23,1.31,0,4.6,7.27,1.8,5.04,0.77,0,0,254.09,0,2.41,42.97,1721,2.38,5.47,2.44,0,3.43,20.45,0,0,0.63,1.46,0,174.29,0,0.9,16.32,3.04,18.46
 72-82,0,0,0,35.46,2.71,752.31,2,1.08,25.1,34.31,1.38,0.6,4.64,13,2.92,1.88,2.56,0,0.49,310.9,1.23,6.69,45.49,1081.85,0,4.29,1.12,0,4.03,5.73,0,0,0,0,0,108.1,0,3.24,35.16,5.05,30.56
 84-94,0,0,0,60.78,4.23,603.74,4.31,1.61,30.73,37.51,2.44,0,2.23,28.33,5.1,11.85,5.3,0.68,2.81,247.56,0,16.56,46.07,976.85,3.42,4.74,5.18,0,3.87,20.09,0,0,1.77,6.68,0,81.6,0.74,3.6,21.71,14.09,18.05
 96-106,0,0.87,0,49.3,5.96,533.07,7.16,0.63,17.85,44.41,1.49,0,6.68,32.39,13.73,4.35,1.78,0,0.6,214.39,1.37,6.54,31.23,635.88,2.67,8.48,4.68,0,0,15.31,0,0,4.19,0.64,0,26.16,0,8.87,54.22,0.76,27.34
108-118,0,0.8,0,57.7,6.1,557.66,5.05,0,13.92,45.29,4.22,0,2.58,35.05,5.19,13.83,2.4,1.95,1.88,244.52,4.6,5.97,47.48,834.18,3.06,4.52,5.67,0,2.27,13.93,0,0,0,1.01,0,21.41,0,0,38.64,10.26,28.09
120,0,0,4.41,71.76,23.38,646.66,9.73,3.22,5.33,35.87,4.8,0,0,47.5,8.98,10.75,8.05,1.02,1.64,168.65,0,2.22,32.43,1220.04,2.45,6.76,4.35,0,0,3.16,0,0,0,1.69,0,33.99,0,0,38.63,0,11.8
