stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0
  5-6,8.7,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,5.63,0,6.4,0,0,0,12.01,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,199.45,0,0,0,33.44,8.31,0,0,0,0,0,0,0,0,0
 10-12,0,13.91,0,5.52,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.88,0,0,0,45.29,12.82,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.84,116.72,2.25,0,2.54,0,0,0,0,4.16,0,0,0,4.39,0,0.93,0,0,15.17,0.82,0,7.31,31.96,0,1.03,5.51,1.96,75.21,0.9,7.43,1.99,6.13,0,0,0,0,0
 24-34,0,0,0,2.35,33.17,0,0,2.21,0,1.42,0,0,0.85,0,0,0,12.63,0,6.8,0,1.37,2.7,4.74,0,0.61,103.59,0.87,9.2,1.36,0,92.96,0,0,0.64,4.26,0,0,1.89,0,0
 36-46,0,0,0,0,18.29,0,0,10.36,0,1.81,0,1.47,0.86,0,0,1.4,23.63,0,17.52,0,0,4.82,5.83,0,2.16,65.78,0,8.19,0.67,0,179.19,0,0,0,6.32,0,0,0,0,1.04
 48-58,0,0,0,0,31.21,0,0,21.6,0,10,0,8.6,0,1.79,0,7.34,10.06,0,16.01,4.44,0,15.56,4.69,0,0.99,111.43,0,4.93,13.04,0,112.46,0,0,0,14.09,0,0,0.6,0,0
 60-70,0,0,0,0,17.72,0,0,25.86,0,2.36,0,2.33,3.4,0,0,2.81,23.46,0.61,16.83,0,6.22,7.98,2.44,1.12,0.67,53.66,0.96,11.16,0,0,73.54,0,0,0,4.25,0,0,0,0,0
 72-82,0,0,2.7,0,14.37,0.55,0,42.44,0.52,1.17,0,5.78,4.37,0,0,2.12,13.42,0,13.89,0,0,6.32,6.62,0,0,116.25,0.51,9.61,1.34,0,52.02,0,0,0,9.24,3.19,0,4.07,0.67,0.78
 84-94,0,0,0,0,38.68,0,0,31.08,0,3.94,0.61,4.91,9.28,0,0,0.91,6.47,0,16.55,0,0,10.31,11.77,0,2.25,53.72,0,2.86,1.17,0,148.99,0,0,0.67,0.83,3.31,0,0,0,0
 96-106,0,0,4.83,0,50.41,5.18,0,16.96,0,2.12,0,3.83,22.05,0,0,10.7,30.03,0,27.53,0,0,13.9,10.72,0,9,79.02,0,25.92,0.73,0,214.02,0,0,0,0,16.5,0,0,0,0
108-118,0,0,9.05,0,48.03,2.49,1.62,27.71,0.58,13.62,2.08,4.32,25.43,0,1.27,7.24,24.47,0,17.86,0,0,12.65,14.25,1.48,2.09,35.89,0.58,7.31,0,0,110.5,0,0,1.22,0,18.51,0.82,0.62,0,0
120,0,0,0,0,55.27,0,0,32.04,0,5.53,2.45,11.19,52.25,0,0,5.32,18.11,0,2.39,0,0,39.84,3.63,1.26,1.36,23.69,0,21.6,0,0,136.17,0,0,1.22,0,15.94,0,0,1.99,3.63
