stage,blastomeres,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm
  3-4,67.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.34,0,0,8.01,0
 14-21,0,0,0,0,0,0,1.7,7.03,1.01,0,0,2.07
 24-34,0,0,0,0,0,0,0,3.27,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,2.26,0,0,0,0
 48-58,0,0,1.06,0,0.38,0,0,4.08,0,0,0,0
 60-70,0,3.26,6.84,0,0,0,0,9.96,0,0,0,0
 72-82,0,1.06,2.25,0,0,0,0,2.36,0,0,0,0
 84-94,0,0,0,1.54,0,0,0,5.19,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.75,0,0,0,0
108-118,0,0,0,0,0,0.72,2.64,1.89,0,0,0,0
120,0,0,7.3,0,0,0,0,2.08,0,0,0,3.04
