stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01,0,0,0,6.19,0,0,0,0,0,0,0,0,0
 10-12,0,6.15,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.78,0,0,0,23.1,0,0,0,0,0,0,0,0,0
 14-21,0,1.1,3.86,0,0,1.76,0,0,0,1.01,0,0,0,0,0,0,0,1.13,0,0,0,2.13,11.17,2.1,0,1.38,0,0,5.74,0,0,0.96,5.27,0,0,0.85
 24-34,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0.92,0,0,7.8,7.06,0,0,2.45,12.53,0,0,0,0,1.12,0,0,0,0,6.81,0,0,42.21
 36-46,0,0,0.7,0,0,5.26,0,0,0,0,0,0,0,0,0,3.76,0,27.72,16.95,0,0,0.57,8.97,0,0,0,0,0,0,0,0,0,0.69,0,0,53.03
 48-58,0,0,0,0,0,24.2,0,0,0,9.72,0,0,0,0,7.17,0,0,147.23,32.17,1.16,0,1.78,10.43,0,0,0.47,0,0,0,0,0.93,0,3.39,0,0,125.22
 60-70,0,0,1.07,0,0,481.13,0,0,1.06,0.58,0,0,0,0,20.85,0,0,88.8,39.38,0,0,2.84,40.45,0,0,0,0,0,0,0,0,0,1.31,1.24,0,217.74
 72-82,0,0,9.82,0,0,1470.58,0,0.72,1.95,43.6,0,1.33,1.18,0,15.79,0,0,132.41,62.35,2.54,0.96,4.74,72.77,0,0,0,0,1.48,0,0.63,0,0,0,0,0.76,189.01
 84-94,0,0,1.56,2.12,0,863.96,0,0,0,36.73,1.55,0,1.52,0.76,23.85,0,0,187.19,57.55,0,1.03,5.7,79.28,0,0,0,0,0.58,0,0,0,0,5.2,0.66,0,165.52
 96-106,0,0,5.75,13.51,2.03,1799.65,1.69,0,0,53.7,0.61,0,0.8,0,52.21,0,9.34,148.98,62.42,0,0,0.89,90.78,0,2.73,0.95,0,5.02,0,0.6,0,0,2.78,4.19,0,179.53
108-118,0,0,36.47,0.67,0,1248.31,0,0,0,26.1,0,0,0.82,0,103.31,0,0.97,218.03,33.21,1.08,0,1.13,47.58,0,1.97,7.05,0,2.13,0,0,0,0,0,0.88,1.48,132.11
120,0,3.17,10.19,1.85,0,650.02,3.11,0,0,35.43,0,0,0,0,71.88,1.88,0,96.23,22.36,0,0,4.33,67.16,0,0,3.1,0,0,0,0,0,0,0,0,0,72.27
