stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55,0,0,0,4.2,0,0,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0,1.79,0,1.24,10.42,1.87,0,0,0,0,0,0,0.89,2.09,0,0,0,0
 24-34,0,0,5.64,0,0,0,2.38,0.6,0,0,5.83,0,2.54,38.63,0,0.95,1.78,0,0,0,0,0,13.76,0,0,0,0
 36-46,0,0,10.27,0,0.68,0,3.38,0,0,0,3.32,0,2.03,38,0,2.55,5.16,0,0,0,0,0,18.27,0,2.81,0,2.23
 48-58,0,2.18,23.66,0,0,0,7.33,0,0,0,12.65,0,2.74,32.55,0.93,2.93,0.67,0,0,0,0,0,14.98,0,0,0,9.59
 60-70,0,0.82,17.16,0,0,0,12.58,0,1.2,0,12.3,0,6.22,37.94,0,2.57,0,0,0,0,0,0,16.85,0,12.28,0,0
 72-82,0,1.73,33.63,5.07,0,1.63,8.67,0,2.08,0.67,13.32,0,0.77,56.02,0,5.92,0.59,0,0,1.34,0,0,5.82,0,0,0,0
 84-94,0,4.44,17.18,0,0,0.7,2.18,0,0,0,9.05,0,0,34.17,0,0,0,0,0,3.46,1.35,0,5.07,0,0,0,0
 96-106,0,2.46,4.33,1.99,0,0,15.84,0.56,0,0,22.12,0,0,24.18,0,1.09,0.79,0,0,4.65,0,0,1.86,0,1.47,0,0.8
108-118,0,10.46,10.02,0.92,0.57,0,8.01,0,3.02,0,5.45,0,2.74,20.82,0,0,0,0,1.65,4.11,0,0,0,3.84,0,0.5,0
120,0,9.65,5.58,0,0,0,0,0,1.11,0,8.32,2.21,3,20.08,0,1.11,8.85,0,0,14.52,0,0,0,0,4.3,0,0
