stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1671.01,27507.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.12,0,0,0,0,0,0,0,0,0,0,0
  5-6,854.99,14207.78,34.04,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,622.11,38.94,0,0,104.1,192.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,262.32,524.55,931.61,0,0,0,1329.95,0,0,0,0,0,397.18,0,0,0,0,0,0,0,0,0,0,0,11922.53,335.2,0,0,4471.97,17.76,102.45,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,409.12,627.14,0,67.73,0,1081.41,0,0,0,0,0,127.06,0,0,0,0,0,3.73,0,0,0,0,0,11746.5,142.57,0,0,4365.34,19.62,90.42,16.02,371.3,0,0,89.01,0,0,0,0,0
 14-21,0,1.36,28.14,240.69,90.85,0,130.88,0,0,0,73.15,10.06,1.35,2.37,0,10.14,0,0,5.13,1.07,142.09,0,0,127.93,2683.87,86.16,3.66,21.94,79.96,24.13,0,255,11.84,0,150.13,965.98,0,0,7.08,0,2.26
 24-34,0,0,11.36,43.75,41.17,0,390.67,0,2.19,0,72.92,6.11,0,1.3,5.81,3.54,2.19,1.43,7.48,5.07,226.7,0.68,0,88.24,2697.17,8.46,10.88,20.66,1,24.82,0,3.08,0.7,0.95,12.2,689.3,0,0,48.85,0,4.85
 36-46,0,0,0.96,46.31,9.31,0,573.35,0,0,0,49.83,2.7,0,0,6.89,0,11.69,2.67,2.12,7.32,165.41,1.28,4.4,46.05,1394.1,2.53,3.71,4.13,0,19.82,0,0,2.59,0,0,355.22,0,0,26.94,0,3.05
 48-58,0,0,0.5,20.22,10.02,0,668.04,0,0.38,0,64.98,2.77,0,0.67,4.31,0.86,4.86,3.45,3.04,1.11,145.4,0.39,9.26,25.89,608.53,1.12,1.22,5.9,0,3.33,0.65,0,0,0,0,108.62,0,0,9.09,0,14.56
 60-70,0.81,0,0,23.99,1.86,0,343.86,0,0,0.86,45.57,14.03,0,0,0.66,0,0,3.96,5,0,113.06,1.01,12.68,16.39,231.46,0,2.27,3.07,0,11.17,0,0,1.19,0,0,20.53,0,0.61,27.33,0,1.05
 72-82,0,0,0,13.43,3.11,0,120.24,1.21,0.8,0.54,34.91,5.9,0,1,0.63,1.03,0.67,1.83,9.07,0,82.03,1.91,2.44,13.4,169.54,0,2.39,2.58,0,8.75,0,0,0.91,0,0,4.64,2.11,0,4.58,0,0
 84-94,0,0,0,15.48,5.66,0,117.05,0,0,0,35.33,6.69,0,1.52,5.97,1.81,0,0.96,0.7,4.39,91.5,0,12.23,14.4,162.44,0.68,0.8,3.54,0,2,0,0,0.64,0,0,6.43,0.56,0,10.15,0.91,0
 96-106,0,0,0,11.43,4.84,0,78.86,0,0,0.89,26.43,7.6,0,1.57,5.74,0.81,1.81,1.93,3.97,0,46.09,0.71,4.98,5.71,121.87,3.49,4.03,6.17,0,1.68,0,0,0.59,0,0,5,0,0,6.7,0,0
108-118,0,0,0,12.04,15.08,2.02,80.67,1.18,0.55,1.14,37.04,3.57,0,0,12,2.11,1.95,1.39,9.82,0,45.56,0.42,5.14,16.95,190.05,0.81,0.45,5.94,0,4.84,0,0,5.51,0,0,2.87,0.9,0,8.26,0,3.32
120,0,0,0,25.42,15.23,0,54.86,0,0,1.82,38.25,4.05,0,0,22.07,0,1.18,3.53,0,0,45.38,0,0,9.46,195.84,4.51,0,8.31,0,1.34,0,0,0,0,0,22.07,5.48,0,12.1,0,0
