stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,58.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,45.98,0,0,10.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36,0,0,12.34,0,0,8.24,0,0,0,0,0,0
 14-21,0,0,0.91,1.78,1.03,0,1.42,0,0,0,2.64,0,0,0,0.86,0,0.91,0,0,2.58,8.92,0,1.32,0.84,0,1.77,0,5.18,4.67,0,0,0,0
 24-34,0,0,0,0.75,0,0,0.93,0,0,0,0.84,0,0,0,0,0,5.68,0,0,0,23.24,0,0,0,1.47,0,3.04,0,2.38,0,0.89,0,0
 36-46,0,0,0,0,0.56,0,1.51,0,0,0,0,0,0,0,0,0,3.99,0,0,1.38,9.38,0,0,0,2.48,0,0,0,14.49,0,0,0,0
 48-58,0,0,0,3.91,4.84,0,1.31,0,0,0,0,0,0,1.22,0,0,4.23,0,0,0.46,20.59,0.76,0,0,0,0,0,0,7.68,0,0.45,0,0.63
 60-70,0,0,0,0,1.94,0,4.04,0,0,0.81,7.3,1.21,0,0,0,0.93,6.55,0,0,0,14.73,0,0.91,0,0,0,0,0,0.99,0,0,0,0
 72-82,0,0,0,0.71,22.83,0,7.5,0,0,3.17,4.06,0,0,0.64,0,0,14.31,0,1.12,0.62,19.8,0,0,0,0,0,0.76,0,5.45,0,0.92,0.71,0
 84-94,0,0,0,5.31,18.34,0,0.71,0,0.95,2.1,17.71,0,0,0.84,0,0,7.58,0.62,0,2.2,24.22,0,0.79,0,4.44,0,0,0,2.26,1.22,0,0,0.66
 96-106,0,0,0,1.1,1.02,0,11.52,0,0,0,2.96,2.3,1,0,0,0,4.1,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.3,10.22,1.46,1.05,0.58,0,0,9.1,0,0,3.4,0,0,11.36,0,0.69,0,15.7,0,0,0,0,0,0,0,4.97,0,3.53,0,0
120,0,0,0,0,3.33,0,18.81,0,0,0,2.93,16.1,0,0,0,0,34.6,0,0,0,26.73,0,0,0,0,0,0,0,26.19,0,0,0,0
