stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,41.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,9.29,0,0,24.37,0,0,0,0,17.89,0,0,0
 24-34,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,163.97,0,2.74,0,0,34.29,0,0,1.1
 36-46,0,0,0,0,23.59,0,0,0,0,0,0,0.82,0,0,0,869.38,0,4.72,0,7.3,117.79,0,0,0
 48-58,0,0.59,0,0,104.65,2.21,0,0,8.91,0,0,0,2.14,0,0.78,1277.04,0,2.91,0.54,7.75,203.79,0,0,0
 60-70,0,0,8.58,0,300.96,0.69,0,0,7.01,0.63,0,0,2.84,0,0,1525.24,0,2.97,0,0,207.07,0,0,0.87
 72-82,0,0,6.54,0.51,334.62,0,0.7,0,13.51,0,1.54,0,0.56,0,1.55,1355.86,0.55,3.07,0,3.17,70.42,0,0,9.76
 84-94,0,2.13,1.17,0,189.08,0,0,0,13.07,0,0,0,7.81,2.23,0,709.6,0,0,0,0,49.33,0,0.64,0
 96-106,0,1.15,2.09,0,204.09,0,0,0,4.39,0,0,0,0,0,0,685.76,0,6.82,0.61,3.49,23.23,1.59,0,0
108-118,0,4.9,0.71,0,148.67,0,0,0,9.58,0,0.7,0,9.06,0,0,701.35,0,2.65,0,0,14.51,0,0,0.93
120,0,0,0,0,151.72,0,0,1.58,19.23,0,0,0,7.77,0,0,1221.51,0,0,0,0,27.89,0,0,2.85
