stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,35.66,245.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0
  5-6,7.56,233.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.04,0,0,0,0,9.33,0,0,0,0,0
  7-9,5.33,13.67,10.08,0,0,14.53,0,0,0,11.63,0,0,0,0,0,0,0,0,231.28,3.95,0,0,64.81,0,0,0,0,0,0
 10-12,0,5.05,14.14,0,0,26.23,0,0,0,9.09,0,0,0,0,0,0,0,0,328.92,0,0,0,110.27,0,0,3.38,0,0,0
 14-21,0,0,0,11.21,0.97,1.87,0,5.44,0,0,0,0,0,0,0,0,0,0,69.4,0,0.85,0,0,4.91,6.07,0,1.09,18.27,0
 24-34,0,0,0,4.8,0,22.35,0,1.31,0.66,0,0,0,0,0,0,3.52,0,6.84,144.14,0,4.13,1.39,0,5.27,0,0,0,26.79,0
 36-46,0,0,0,3.95,0,35.61,0,2.61,0,0,0,0,0,0,0,3.62,0,0,63.06,0,0,0,0,3.24,0,0,0,15.29,0.58
 48-58,0,0,0,9.48,0,62.75,1.82,2.14,0,0,0,0,1.63,0,0,2.09,0,0.41,54.85,0,4.77,4.51,0,2.74,0,0,0,6.8,3.33
 60-70,0,0,0,11.09,1.3,39.82,0,6.94,0,0,0,0,0,0,0,3.08,0,0,42.5,0,0,1.71,0,0.96,0,0,0,1.61,0
 72-82,0,0,0,1.16,0,20.63,0,0.56,0,0,0.5,0.7,0,0,0,1.79,0,0,8.16,0,0,5.31,0,0.51,0,0,0,0,0
 84-94,0,0,0,1.79,0,10.62,0,1.47,0.87,0,0,1,0.75,0,0.68,3.68,2.2,2.14,20.48,0,6.22,2.48,0,3.68,0,0,0,0,0.55
 96-106,0,0,0,4.85,0,4.39,0,0.93,0,0,0,1.34,0,2.44,0.99,1.48,0,0,4.27,0,0,2.08,0,7.41,0,0,0,0,0
108-118,0,0,0,2.16,1.73,0.99,0.95,2.16,0,0,0,0,0,0,0,0,0,0,5.76,0,1.57,0.49,0,5.77,0,0,0,0,0.49
120,0,0,0,0,1.61,4.02,0,1.31,4.59,0,0,1.29,0,0,0,8.29,0,0,30.39,0,0,0,0,5.61,0,0,0,0,0
