stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.65,0,0,3.72,0,0,0,0
 10-12,0,18.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,0,0,7.51,0,0,0,0,2.29,1.36,0
 24-34,0,0,1.38,0,2.08,0,0,0,0.69,13.22,0,0,0,0,0,2.86,0
 36-46,0,0,0,0,0,0,0,0,0.72,0.57,0,0,0,4.51,0,1.37,0
 48-58,0,0,0,0,1.48,0,0,4.81,1.51,13.5,0.5,0.88,0,0,0,1.82,0
 60-70,0,0,0,0,1.48,0,0,0,0.63,7.11,0,0,0,1.13,0,3.48,0
 72-82,0,0,0,7.12,0.68,0.79,0,0,2.85,6.04,0,0,0,0,0,0,0.85
 84-94,0,0,0,0.92,3.75,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.66,0,0,0,0,3.52,0,0,0,0,0,0,0
108-118,0,0,0,0,6.48,5.95,4.99,0,0,4.1,0,0,0,0,0,0,0
120,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0
