stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,38.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.96,0,0,0,0
  5-6,0,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,117.12,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,3.94,185.9,0,0,0,0.84,0,0,0
 36-46,0,0,0,0,0.74,2.73,0,0,1.48,0,0.84,0,0,0,17.57,0,0,4.71,242.59,0,0,0,0.78,0,0,0
 48-58,0.77,0,0,0,1.29,0.7,0,0,0,0,0,0,0,0,184.76,0,0,1.75,140.09,0,0,0,3.46,0,0,0
 60-70,0,0,0,0,0.83,0,0,0.87,2.41,0,0,0,0,0,244.97,0,0,19.87,73.29,0,0,0,0,0,0,0
 72-82,0,0,2.42,0,25.65,1.19,0,0.6,0,0,4.08,0,13.08,0,528,0,6.8,12.7,34.43,1.49,0.61,1.97,0,4.19,1.69,2.3
 84-94,0,0,13.91,0,20.5,0,0,0,0,1.01,0,1.11,9.93,6.93,730.52,0,0,14.73,35.15,0,0,0.8,0,1.28,0,0
 96-106,0,0,6.99,0,28.8,0,0,1.68,9.01,0,0,0,6.72,0,605.67,0.92,1.25,43.58,15.57,2.91,0,0,0.99,2.43,5.76,22.96
108-118,0,0,6.26,0.9,17.06,0,3.12,0.77,0,0,0,0,13.5,0,520.13,0,1.07,17.73,49.85,0,0.54,0,0,0,0,0
120,0,0,24.7,14.25,28.65,0,0,0,28.57,0,0,0,21.66,0,792.47,0,0,5.14,44.53,0,0,0,0,0,0,8.03
