stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,45.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.27,0,0,0,0,0,0,0,0,3.75,9.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0.95,0,0.97,0,0,4.11,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.87,0,0,1.63,0,0
 36-46,0,0,0,0,2.18,0,0,0,0,13.07,0,0,2.72,0,0.75
 48-58,0,0,0,0,1.72,0,0,0,0,1.82,0,0,1.32,0,0
 60-70,0,0,0,0,3.71,0,1.86,0,7.71,1.17,0,0,1.27,0,0
 72-82,0,0,0,0,0.7,0.92,0,0,1.39,0,0,0,0,0,0
 96-106,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,4.89,0,0.54,0,0,0
120,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1.46,0
