stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,38.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,81.47,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,7.84,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.08,636.1,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,0,0,0.93,0,0,0,1.45,0,0,0,0,0.8,0,0,0,0,0,0,0,12.07,15.48,113.9,0,1.18,0,0,0,3.74,0,412.94,382.74,4.76,0,0,0,0,0
 24-34,0,0,0,1.91,0,0,9.6,416.93,1.35,0,6.05,0,0,4.33,0,1.62,0,2.06,5.16,0,17.63,0,0,142.76,202.65,10.68,1.42,0,0,0,10.95,0,0,352.31,560.54,28.45,0,0,9.02,0,0.63
 36-46,0,1.35,0,2.83,7.25,0,30.16,776.73,0,0.78,2.61,0,0,5.22,0,0,0,0,11.49,7.33,14.48,0,0.67,93.22,165.18,7.66,1.21,0.56,0,0,14.94,0,0,355,47.5,51.18,0,0,5.28,0,4.06
 48-58,0,0,0,8.59,0,0,88.44,677.89,0,0.51,14.74,0,0,0.77,0,4.73,0,0,0.41,8.85,23.69,0,1.85,120.5,240.56,1.07,0.86,0,0,0,4.97,0,0,251.03,0,67.59,0,0,1.87,0,9.67
 60-70,0,0,0,9.56,0,0,63.13,267.72,0,7.43,17.71,1.12,0,8.42,0,0.58,3.43,0,0,0,38.94,0,0,97.32,114.6,0,1.55,0.73,0,0,12.01,0,0,103.6,0,11.61,0,0,0,0,0
 72-82,0,8.12,0,8.25,0.66,0,90.5,221.28,0,0.55,9.7,9.97,0,4.4,0,0,1.57,0,0,0,183.85,0,0,97.73,106.94,0,0,0,1.13,0,0,0,0,77.94,0,17.36,2.66,0.52,4.88,0,0
 84-94,0,2.58,0,2.98,8.53,0,91.77,340.74,0.61,0,5.19,29.1,2.66,6.83,0.81,0,0,0,0.68,0,120.27,0,0,73.47,82.84,0,0,2.29,0,0,21.21,0,3.04,180.11,0,13.33,0,3.04,0,1.1,8.06
 96-106,0,18.22,0,11.55,28.05,8.91,155.85,484.35,3.99,2.8,29.35,113.7,0,17.98,4.82,0.87,2.59,1.41,15.12,0,282.55,14.57,0.7,73.41,184.93,3.47,5.66,6.78,1.2,1.44,24.41,0,3.86,205.16,0,4.62,1.68,0,5.33,3.38,19.27
108-118,0,1.44,0,6.62,0.42,6.12,70.95,505.79,3.26,3.78,14.77,145.25,0,19.37,0.43,0.43,0,0,4.45,1.34,541.05,5.96,0,119.04,210.21,0.69,1.95,12.58,0,1.59,16.21,0,10.87,216.06,0,0,0.63,0.74,5.56,0,11.48
120,2.37,3.99,0,14.74,0,0,51.23,366.46,0,0,15.27,100.66,0,7.85,1.18,0,0,0,1.66,1.79,369.46,0,0,168.68,183.69,0,7.18,6.38,0,11.71,19.31,1.12,12.76,87.74,0,0,0,7.39,0,0,0
