stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,23.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.6,0,0,14.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,8.24,0,0,0,0,0,0
 14-21,0,2.35,0,0,2.82,0,0,0,0,1.26,5.96,0,0,0,0,0,0,0,2.55,0,0,0,0
 24-34,0,0,2.02,0,0,0,0,2.4,0,0,12.84,0,0.71,0,0,0,0,0.6,2.7,0,0,0,0
 36-46,0,0,3.34,0.95,0.73,0,0,7.31,0,2.31,24.95,0,0,0,0,0,0.59,0,7.02,0,0,3.83,0
 48-58,0,1.09,1.61,0,1.38,0,0,6.41,0,1.85,21,0,0.89,0,0.45,0,0,0,7.71,0,0.42,0,0
 60-70,0,0,5.78,0,2.63,0,1.03,8.16,0,0.6,37.42,0.66,0.78,0,0,0,3.68,0,11.99,0,0,0,0
 72-82,0,1.49,12.51,0,1.35,0,0,11.59,0,1.04,33.8,0,0,0,0,0,0,0,4.98,1.21,0.85,1.02,2.52
 84-94,0,2.46,10.28,0.7,1.06,0,0,21.75,3.91,1.41,29.66,0,0.92,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.81,0,4.87,0,0,8.84,0,2.43,20.01,0,0,0,0,0.9,0,0,0,0,0,10.25,0
108-118,0,2.2,16.22,0,0.89,0.74,0,15.53,0.46,0.58,19.58,0,0,0,0,0,0,0,2.39,0,0,0,0
120,0,0,4.81,0,0,0,0,6.2,0,3.16,10.33,0,0,0,0,0,0,0,0,0,0,0,0
