stage,axial,epidermis,eye,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,19.68,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.95,0
 24-34,0,0,0,0,0.73,0.99,0,0,0,0,1.95,0,10.25,1.61,0
 36-46,0,0,0.6,0,0,0.78,0,1.45,0,0,3.96,0,4.5,0,0
 48-58,0,0,3.61,0,0,0,0,0.62,0,0.67,3.45,0,0,0.72,0
 60-70,0,0,0.65,0,0,0,0,11.04,0,0,9.7,0,0,0,0
 72-82,0,0.51,0,0.62,0,0,0,0.53,0,0,6.76,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.61,0,1.87,10.07,0,0,0,0
 96-106,0,0.57,5.15,0,0,0,0,0,0,1.41,4.32,0,0,0,0
108-118,0,2.08,0,0,0.73,0,0.56,0,4.91,1.25,5.29,0,0,0,0
120,0,0,0,0,0,0,0,1.7,0,0,11.91,0,0,0,2.25
