stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,17.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,1.07,0,0,0.93,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0.91,1.11,0.85,0,19.6,1.16,0,0,0,0
 24-34,0,6.06,0,2.59,2.87,0,0,0,0,0,0,0,1.97,2.82,0,9.77,21.2,0,1.06,0,0,0,0,0,0,0.71,2.28,49.97,4.78,0,0,0,0
 36-46,0,0.91,0,1.67,21.94,0,0.92,0,0.89,0,0.61,0,0,8.21,0,1.83,20.39,1.52,1.55,0,0,0,0,0,0,0,0,1.88,4.18,0,0,0,0
 48-58,0,0,0,11.72,16.52,3.38,0,0.39,0,0,0.42,0,0,7.77,0,6.97,16.38,0,0,0,0,0,0,0,0,0,0.4,0,4.46,0,1.42,0,0
 60-70,0,3.21,0,7.14,14.14,0,0,1.95,0,0,0,8.17,0,35.29,0,13.63,22.22,0,0,0,0,0,0,0,0,0,0,0,8.01,0,3.17,0.73,0
 72-82,0,0.5,2.15,13.46,11.96,0,1.91,0.72,1.15,0,5.93,0,0,17.45,0,3.85,18.49,0.5,0,3.28,0,0.72,0.86,0,0,0,0,0,7.16,0,0.91,1.73,0
 84-94,0,0.57,0,14.31,0.7,0,0.66,7.09,0,1.52,0,0,0,22.62,0,3.63,12.07,0,0,0.6,0,0,1.48,0,0,0,0.69,0,1.36,0,0,0,0
 96-106,0,0,0,4.13,1.48,0.62,0.97,2.09,0,0,0,0,0,3.22,0,0.65,2.59,0,0,1.59,0,0,5.34,0,0,0,0.6,0,0,0,0,2.24,0
108-118,0,0,0,1.36,20.74,0.55,0.63,9.31,3.96,1.43,0.97,0,0,24.52,1.99,6.43,5.67,0,0,0.98,0,0,0,0,0,0,0.53,0,0,0,0,0,1.86
120,0,0,4.51,0,16.87,0,0,0,0,0,0,6.73,0,10.59,0,11.74,4.91,0,0,0,0,0,0,0,0,0,0,0,1.34,7.08,0,0,0
