stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,207.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0
  5-6,17.07,183.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.67,4.5,0,4.06,0,0,0,11.81,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,171.26,10.07,0,0,41.92,9.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,0,0,20.66,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,221.18,3.27,0,0,26.9,3.47,0,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,24.45,2.58,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0.9,17.8,0,1,0,0,6.7,0,11.46,1.68,5.23,3.85,1.81,0,0.85,0,0
 24-34,0,0,0,0.6,7.99,0,0,3.71,0,0,0,0.79,0,0,0,1.69,0.82,1.79,0,2.63,0.61,0,2.09,24.91,0,4.57,1.82,0,23.7,0,0,0.69,0,0,6.11,0,0,0,0
 36-46,0,0,0.95,0,1.43,0,0,3.35,0.64,0,0,3.57,0,0,0,0,3.34,0,0,1.33,0.95,0,0,68.7,0,8.3,0.71,0,13.11,0,0,0,0,0,8.44,0,0,0,0
 48-58,0,0,0,0,2.59,0,0,3.67,0,0,0.44,1.34,0,0,0,3.23,0.56,0,4.96,2.65,0.52,0,0,31.25,0,3.3,0.87,0,15.2,0,0,0,0,0,9.83,0,0,0,0
 60-70,0,0,0.7,0,6.64,0.75,0,8.2,0,0,0,5.03,0.63,2,0,0.58,2.07,0,0,2.35,0,0,0,68.82,0,0,5.07,0,28.26,0,0,0,0,0,18.44,0,0,0,0.97
 72-82,0,0,1.4,0,7.37,0,0,15.96,0,1.08,0,8.97,2.45,0.6,0,0.5,3.92,3.64,0,1.92,0.55,0,1.33,82.29,0,6.92,3.05,0,13.65,0,0,1.23,0,0,11.76,0,0,0,0
 84-94,0,0,1.22,0,5.98,0.62,0,13.26,0,0.66,0,12.79,3.29,3.25,0,3.72,3.28,0,0,11.44,0,0,0.57,60.52,0,1.92,4.02,0,39.2,0,0,0,0,0,5.55,8.88,0,0.78,2.28
 96-106,0,0,2.46,0,13.35,9.19,0.89,21.71,0,0.58,0,11.18,8.92,0,0.64,0.87,8.13,0,0.6,2.1,1.44,0.67,1.99,136.22,0,5.66,6.89,0,23.32,0,0,0,0,0,8.14,0,2.54,0,0
108-118,0,0,1.55,0,22.15,6.04,2.19,11.74,0,0.79,0,9.86,10.76,0,0,11.4,2.98,0,0,8.37,0.91,0.92,0,121.01,0.55,6.83,7.39,0,28.26,0.79,0,1.16,0,0,5.55,2.23,0,0,0
120,0,0,0,0,27.87,0,0,8.6,0,2.14,0,0,6.37,0,0,1.17,1.54,1.12,0,16.01,0,11.74,0,121.91,0,2.49,35.71,0,33.51,0,0,0,0,0,0,1.37,0,0,0
