stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,130.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.3,173.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.75,4.42,8.22,4.53,0,0,0,0,0,87.16,7.23,0,43.38,0,0,0
 10-12,0,0,26.69,16.41,0,4.29,0,0,0,214.11,0,0,160.64,12.27,4.33,0
 14-21,0,0,0,0,0.89,0,0,2.53,0.88,5.02,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.77,0,5.69,0,0,0,0,1.99,0
 36-46,0,0,0,2.17,0,0,0,0,0,4.07,0,0,0,0,2.65,0
 48-58,0,0,0,1.32,0.49,0,0,1.39,0,0,0,0,0,0,0,1.78
 60-70,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0
108-118,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0
