stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,26.72,0,0,0,0,1322.71,3.19,0,0,0,1.95,0,0,0,0,0
 24-34,0,0,0.94,106.52,0,0,20.44,0,1.09,0,0,5.71,0,7.6,0,0,0,0.82,0,1.75,17.06,11.98,0,6.2,266.87,2.89,9.31,4.11,0,7828.39,0,0,8.14,4.17,28.52,0,0,11.3,0,3.42
 36-46,0,0,0,127.93,0.73,0,7.69,0,0,0,3.71,0,0,0,0,0,0,0,0,0,17.67,0.6,0,3.69,105.37,1.03,0,0.63,0,1932.5,0,0,0,0,17.51,0,0,4.25,0,0
 48-58,0,0,0,884.87,0,0,26.82,0,0,0,10.33,0,0,0,0,1.38,0,0,0,2.21,4.54,0,0,1.16,70.94,0.44,0,0,0,187.04,0,0,0,0,9.4,0,0,1.1,0,0
 60-70,0,0,0,3502.47,0,0,114.13,0,0.73,0.91,4.08,1.64,0,0,0.78,1.02,0,0,0,0,13.81,14.97,0,2.76,129.69,0,0,0,0,105.69,0,0,0,0,25.84,29.35,0,0,0,8.71
 72-82,0,0,0,7445.86,22.01,1.16,261.3,0,2.16,6.08,35.06,372.09,25.26,1.72,1.67,31.29,3.65,0,0,0,60.69,5.78,2.05,5.28,461.89,0,14.28,5.79,0,127.81,0,0.49,2.99,0,20,333.61,1.57,14.72,6.32,28.56
 84-94,0,1.26,0,20567.11,58.25,0,225.12,1.72,62.33,2.24,23.13,937.67,0,0.78,10.15,134.11,3.4,1.64,5.15,1.82,75.28,18.16,14.19,10.87,293.27,1.16,9.48,5.57,0.79,312.25,0,0.73,0,0,29.86,1191.34,0,3.86,3.37,8.64
 96-106,0,1.41,0,30600,80.74,13.35,416.68,0,33.26,9.57,123.83,3591.98,0,3.25,21.88,142.73,4.44,7.48,54.34,0,163.45,22.49,13.99,16.12,968.23,8,11.38,12.51,1.04,596.6,0,1.69,0.84,0,44.91,1264.76,0,28.83,7.58,29.49
108-118,0,0,0.75,35314.6,29.96,16.97,291.74,2.01,38.13,5.54,70.34,4073,0,4.98,6.18,303.13,3.45,3.24,19.3,5.57,175.48,33.1,7.4,18.44,658.38,1.14,5.23,4.35,4.18,1272.94,0,1.15,0,0,17.85,1396.43,3.62,26.33,4.85,18.1
120,0,0,0,28013.01,20.26,19.5,263.95,3.63,31.18,12.96,46.64,956.53,10.41,0,8.79,46.28,2.63,6.53,7.11,0,108.91,72.97,42.73,17.22,524.05,1.03,12.21,21.12,2.76,1022.93,0,1.21,0,0,19.15,321.52,3.48,8.43,0,15.38
