stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  3-4,39.52,273.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0
  5-6,9.31,197.08,0,0,0,0,0,0,0,0,0,0,0,0,0,53.63,0,0,674.58,0,0
  7-9,6.02,0,12.13,0,0,11.69,0,0,0,11.5,0,0,0,0,0,88.06,0,12.45,72.59,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.59,0,11.7,38.15,0,0
 14-21,0,0,0,1.48,0,0,0,0,0,0,0,0,4.68,0,0,68.18,9.74,0,21.18,0.85,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,91.46,0,0,2.18,1.55,0
 36-46,0,0,0,0,0,0,0,0,0,0,15.82,0,2.91,0,0,6.36,0,0,0.71,0,0
 48-58,0,0,0,0,0,1.77,0,0,0,0,50.22,0,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,4.51,0,0,77.69,9.3,0,0.98,0,10.89,0,0,0,0,0
 72-82,0,0,0,0,0,15.95,0,2.97,0,0,87.63,0,2.2,0,0,41.09,0,0,0,0,0
 84-94,0,0,0,0,0,5.72,0,2.81,0,0,232.51,0,2.46,0,0,40.89,0,0,0,0,0
 96-106,0,0,0,0,0,1.64,0,3.32,0.79,0,205.52,0,1.18,0,0,18.89,0,0,1.71,0,0
108-118,0,0,0,2.8,0.72,2.01,0,3.6,1.06,0,208.76,0,1.98,0,0,20.24,0,0,0.59,0,0.61
120,0,0,0,0,0,0,1.34,0,0,0,347.93,0,0,0,0,52.16,0,0,0,0,0
