stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0
 36-46,0,0,1.53,0,0,1.4,0,0,0,0,0,0,0,0.78,0,0,0,0,1.08,0
 48-58,0,0,3.61,0,5.69,0.55,0,0,0,0,0.51,0,0,1.07,0,0,0,0,0.46,0
 60-70,0,0,0,0,0,3.14,0,0,0,0,11.72,0,0,2.88,0.89,0,0,0,0,0
 72-82,0,0.6,3.74,1.78,0,2.96,0,0,3.33,0,89.92,0,0,5.56,0,1.08,0,0,2.17,0
 84-94,1.16,0,0,0,0,0,0.62,0,8.51,2.66,128.14,0.69,0,6.16,0,0,1.17,0,2.02,1.75
 96-106,1.08,0,4.64,1.56,0,1.24,0,0,9.94,0,205.48,3.22,0,45.72,0,0,1.01,0,5.31,0
108-118,0.95,0.48,3.72,0,0,0,7.86,0.58,3.92,0,174.93,2.61,0.71,19.84,0,5.82,0,0.84,0,6.04
120,0,2.08,0,0,0,0,0,0,7.03,0,438.68,0,0,3.98,0,10.01,0,0,0,8.12
