stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,neural,olfactory,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0
 14-21,0,2.85,1.21,0,0,0,0,0,0,0,0,0,0.95,0,0,1.13,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.15,0,0,0,0,0,0
 48-58,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,1.13,0,2.52,0,0,0
 60-70,0,2.34,0,0.94,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0
 84-94,0,2.53,0,2.01,0,0.75,0,0,0,0,0,0,0,0,6.91,0,0,0.61,0,2.73
 96-106,0,0.93,0,0,0.97,0,0.68,0.78,1.24,0,0,1.17,0,0,5.98,0,0,0,0.91,0
108-118,0,0,0,0,0,0,0,0.45,0,1,0.5,0,0.54,0,11.62,0,0.42,0,0,0.44
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,15.8,0
