stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0
  5-6,0,40.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,17.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.64,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,8.34,0,7.9,0,4.52,0,3.54,0,0,0,0,0,0
 14-21,0,0,0,4.09,35.73,0.83,0,0,0,0,0,0,4.04,479.22,0,0,0,470.39,0,101.29,45.78,0,47.81,0,8.34,23.72,0,0,0,0,0,0,0
 24-34,0.88,0,0,0,7.43,17.29,0,0,0,0,0,0,0,615.42,4.75,12.32,20.24,296.08,0,65.31,48.74,0,0,0,0,0,4.67,2.59,10.19,0,0,0,0
 36-46,0,0,0,0,0,2.92,0,3.17,0,0,0,0,0,380.5,0,0,0,35.3,4.9,0.73,21.49,0,49.23,5.7,12.22,55.1,0,10.23,5.98,0,0,1.27,0
 48-58,0,0,0,0,0,1.54,0,2.32,4.44,6.13,0.6,1.53,0,185.84,0,0,0,9.96,2.24,38.11,56.15,0,0,1.68,1.74,0,0,9.4,2.26,0,0.74,0,0
 60-70,0,0,0,0,4.95,0,0,11.6,44.72,0,0,13.67,0,204.06,0,0,0,19.41,0,7.92,33.49,0,4.05,1.53,0,0,0,12.55,0,0,0,0.82,0
 72-82,0,0,0,0,5.21,9.05,0,12.84,71.92,0,0,18.83,0,33.3,0,0,0,10.19,8.08,12.76,37.47,0,0,0,0.7,0,0,0.77,0,0,0,0.91,0
 84-94,0,0,0,0,1.03,5.16,0,17.51,206,0,0,17.71,0,75.55,0,0,0,5.05,0.94,3.56,14.82,0,0,4.9,0,0,0,2.72,5.79,1.37,25.34,0.69,0
 96-106,0,0,0,0,3.88,25.99,0,8.53,137.27,0,0,2.85,0,129.05,0,0,6.32,23,0.85,3.76,38.08,0,0,0,2.1,0,0,13.5,3.78,0,0,0.62,0
108-118,0,0,1.15,0,3.58,10.65,0,8.61,130.92,0,0,27.48,0,126.29,0,0,0,4.3,2.22,1.25,36.19,0,0,0,4.4,0,0,2.75,0,0,3.71,0,2.26
120,0,0,0,0,18.32,0,1.14,8.6,76.45,0,0,49.72,0,54.82,0,0,0,11.27,0,0,78.43,3.15,0,0,0,0,0,1.52,0,0,0,0,0
