stage,axial,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,32.8,0,0,0,0,0,0
 10-12,0,0,4.23,0,0,0,0,0,0,3.8,0,8.28,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.81,0
 24-34,0,0,1.8,0,0.74,0,0,0,0,9.89,0,0,0,0,0,0.64
 36-46,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,0,0
 48-58,0,0,4.23,0,0,0,0,0.8,0,4.75,0,0,0,0,0,1
 60-70,0,2.93,3.81,0,0,0.75,0,0,0.89,16.36,1.74,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.34,0,3.24,0,0,0,0,0,0
 84-94,0,0,0,2.27,0,2.11,0.57,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.31,0,0,0,0,1.81,0,0,0
108-118,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.6,0,0,0,0,0,0,0,0,0,1.37,0,0,0
