stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle
  3-4,10.33,61.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,135.66,0,0,0,0,0,0,0,0,0,0,0,0,77.02,0,0,8.13,0,0
  7-9,0,6.82,55.71,0,0,0,0,0,0,0,0,0,0,0,46.55,0,36.35,3.26,0,0
 10-12,0,4.07,14.8,0,5.22,0,0,0,0,0,0,0,0,0,28.6,0,23.17,29.64,8.82,0
 14-21,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.89,0,0,23.55,0,0
 24-34,0,0,1.4,0.81,0,0,0,0,1.07,0,3.71,0,0,1.85,10.46,0,0,99.76,0,1.1
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,1.98,0,0,94.02,0,0
 48-58,0,0,0,2.59,1.07,0.38,0,0.7,0.56,0,9.52,0,2.19,1.63,7.28,0,0,59.32,0,0
 60-70,0,0,0,9.25,1.63,0.62,1.18,0,0,0,9.12,0.58,0,0,11.42,0,0,47.3,0,0
 72-82,0,0,0,0,0,0,0,0,2.69,0,4.97,0,1.5,0.73,1.66,0,0,27.54,0,0
 84-94,0,0,0,2.44,0,0,0.93,0,0,0,15.55,0,0.59,3.52,5.08,0,0,77.29,0,0
 96-106,0,0,0,4.62,0,0.93,0,0,0,0.81,9.74,0.83,0,0,3.55,0,0,68.97,0,0
108-118,0,0,0,1.34,0.51,0,0,0,3.79,1.08,13.98,0,0,2.68,6.55,0.43,0,51.93,0,0
120,0,0,0,13.08,0,0,4.57,0,0,0,16.62,1.06,0,2.91,0,0,0,50.63,0,0
