stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,24.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,0,0,0,0,0,0,0,0
 10-12,0,0,9.65,0,0,0,0,0,0,3.04,0,0,0,0,0,47.69,0,0,5.36,0,0,0,0,0,0,0,0
 14-21,0,2.5,0,0,1.88,0,0,0,0,0,0,0,0,0,1.37,27.93,0,0,0,0,3.34,2.15,446.23,14.62,3.69,0,0
 24-34,0,5.22,0,0,1.33,0,1.38,0.68,0,0,0,1.29,0,5.62,10.98,41.54,0.98,0.63,0,0,0,0,220.88,0.61,7.87,3.29,0
 36-46,0,0,0,0,0,0,4.76,0.67,0,0,0,0,2.72,1.7,8.07,44.29,0,0,0,0,0,0,139.36,0,4.98,1.85,0
 48-58,0,1.8,0,0,11.24,2.18,0,0,0.73,0,0.42,0,0.83,1.59,0,38.15,0,0,0,0,0,0,48.16,0,3.61,0,0
 60-70,0,5.42,0,0,9.97,4.19,0,0.72,0,0,0,0,4.42,5.05,0,12.44,0,0,0,0,0,0,24.15,0,2.69,0,0
 72-82,0,0,0,0,2.92,1.28,0,0,0,0,0,0,0,4.6,8.79,14.63,0,0,0,2.24,0,0,5.49,0,0,0,0
 84-94,0,0,0,0,11.62,1.39,0,0,1.59,0,0.67,0,7.06,3.23,0,22.19,0,0,0,0,1.11,0,7.11,0,0,3.82,0
 96-106,0,2.96,0,1.07,0,0.57,0,0,0,0,2.8,0,0,0.88,0,9.75,0,0,0,0,2.78,0,9.12,0,0,0,1.36
108-118,0,0,0,0,2.89,3.08,0,2.9,0,0,0,0,4.24,3.14,0,6,0,0,0,0,0.5,0,8.84,0,0,0,0
120,0,0,1.69,0,0,3.68,0,0,8.74,0,0,0,0,7.51,0,9.27,0,0,0,0,0,0,5.28,0,0,0,0
