stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.28,19.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.61,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.62,0,2.42,0,0,0.7,0,0,1.23,0,0,0,0,0,1.95,53.39,17.22,0,0,0,11.96,0,0,0,0
 36-46,0,0,0,0,0,14.61,0,0,4.26,0,0,1.17,0,0,0,0,0,0,69.38,12.23,0.72,0,0,6.75,0,0,0,0
 48-58,0,0,0,0,0,83.94,0,0,3.35,0,0,0.39,0,1.32,0,0,1.17,0,87.93,13.02,1.22,0,0,20.83,0,0,0,7.12
 60-70,0,0,0.7,0,0,433.04,0,0,1.31,0,0,0,0,5.85,0.66,0,0,0,80.3,1.08,0,0,1.79,4.79,0,0,0,0
 72-82,0,0,0,0.72,0,418.35,0,1.11,2.77,0,0,4.95,0,1.89,3.7,0,0.77,0,88.52,13.11,1.71,0,0,9.42,1.84,0,0,0
 84-94,0,0,0,2.73,0,475.02,0.69,0,2.84,0,0,2.59,0,0,7.85,0,0.98,0,73.68,9.7,1.86,8.45,0,0,0.58,0,0.63,0
 96-106,0,0,0,3.41,1.85,307.61,0,0,1.89,0.71,0,4.04,0.59,1.39,4.66,1.17,0,0,61.04,7.77,0,13.54,0,0,1.37,2.14,0,0
108-118,0,0,0,0.57,1.6,330.44,0,0.7,1.71,0,0.6,1.26,0,0,9.46,0.46,3.92,0.62,52.2,3.72,3.37,19.86,0,0.62,0.54,0,0,0
120,0,0,0,1.45,0,243.65,0,5.67,0,0,0,5.03,0,0,31.73,0,0,3.76,82.75,2.65,2.42,14.38,0,0,0,0,0,0
