stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,4.52,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,6.3,0,3.47,0,0,0,0.99,9.32,0,0
 24-34,0,0,0,0.68,0,0,0,0.8,0,0,0,0,0,0.85,0,0,8.37,0,0.6,73.24,0,2,1.42,0,0,0,65.28,0,0
 36-46,0,0,0,0.56,0,0,0,2.11,0,0,0,0,0,0.61,0,0,6.8,0,3.42,152.59,0,0,0,0,0,0,46.28,0,1.27
 48-58,1.47,0,0,5.78,0,0,0,1.7,0,0,0,0,0,0,0,0,24.45,0.69,1.92,438.34,0.6,0,8.08,3.66,0,0,55.57,0,0.42
 60-70,2.53,0,0,24.3,0,0,0,15.87,0,0.93,0,0,0,0,0,0,64.31,0,2.17,705.64,0,7.16,0.91,0,0,0,57.18,1.99,0
 72-82,4.73,0,0,27.57,1.33,1.43,0.87,8.78,0,2.04,0,0,1.19,1.43,1.17,0,150.13,0,8.77,817.49,0,2.39,2.57,0,0,0,87.39,0,1.21
 84-94,0,0,0,50.81,0,0.59,0,15.66,0,0,0,0.76,2.02,2.2,0,0,97.86,3.36,9.88,524.44,0,0.77,3.31,0,0,0,47.29,0,0
 96-106,3.37,1.39,5.7,73.03,0,0,0,5.88,0,0,0,0,7.08,7.4,10.68,0,109.56,1.7,1.54,452.93,0,0,8.81,0,1.67,0,19.03,0,0
108-118,2.26,5.27,0,61.47,0,1.14,0.6,22.34,0.7,0,0,0,2.4,0.43,2.23,0,105.97,3.83,4.04,648.96,0,0,3.27,0,0.76,0,18.46,5.77,0
120,20.18,0,0,74.01,0,0,10.32,29.51,0,0,4.1,0,1.43,0,0,0,167.27,0,7.77,1019.22,0,2,22.27,0,7.38,0,43.76,0,0
