stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,69,1034.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0
  5-6,25.06,241.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.78,0,0,0,15.21,0,0,0,0,0,0,0,0
  7-9,0,4.63,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.79,0,0,13.76,0,12.86,0,0,0,0,0,0,0
 10-12,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,77.27,0,0,27.11,0,11.35,9.31,0,0,0,0,0,0
 14-21,0,0,0.93,0,7.7,0,0,0,0,0,0,0,0,0,34.87,0,3.18,0,0.87,4.82,0,0,0,0.92,0,0,0,0,1.66,0,0,0
 24-34,0,0,0,0,3.61,0,0,0,0,0,1.13,0,0,0,27.9,0.78,0,0,0,2.8,0,0,0,4.03,0,0,0,0.65,0,3.13,5.89,0
 36-46,0,0,0,13.46,15.96,0,0,0,0,0,0,2.4,0,0,3.07,0,0.58,0,0,27.24,2.79,1.46,0,1.41,0,0,0,0,0,1.32,0,0
 48-58,0,0,0.39,0,5.92,0.46,0,0,0,3.95,0,8.57,4.57,0.69,0,0,0.41,0,0,22.2,0.48,1.14,0,0,0,0,0,0,0,3.49,0,0
 60-70,0,0,0,0,34.21,0,0,3.66,0,0,0,11.89,0,0,1.63,0,7.86,0,0,19.23,0,2.08,0,1.42,0,0,0,0,0,6.33,0,0
 72-82,0,0,1.43,0,38.26,0,0,8.38,0.49,0,0,8.2,0,0.68,4.33,0,23.96,0,0,31.7,2.52,3.56,0,3.01,0,0,2.24,0,0,3.24,0,0
 84-94,0,0,1.77,0,42.76,0.58,0,4.95,0,0,0,14.1,1.15,0,7.25,0,35.61,1.2,2.32,30.48,0,0.59,0,0.66,0,0,1.17,0,0,3.92,0.78,1.25
 96-106,0,0,0.61,0,58.66,1.02,0,8.09,0,0,0,15.93,0,1.98,7.13,0,17.04,0,0,14.3,0,1.88,0,2.81,0,0,1.28,0,0,1.68,0,0
108-118,0,0,0,0,47.28,0,0,4.17,1.1,0,0,9.1,0.69,0.85,0,0,21.07,0.92,0.51,19.61,0.81,11.05,0,7.3,0,0,2.04,0.47,0,0,0,0
120,0,0,0,0,18.95,0,3.26,10.49,0,0,0,11.26,0,4.83,1.73,0,54.58,0,1.05,44.23,0,3.2,0,0,0,0,4.65,0,0,0,0,0
