stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.84,48.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,16.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.53,0,0,0,13.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0.82,5.04,0,3.5,0,0,0,0,2.05,0,0,61.39,0,0,0,0,0,0,0,0.98,40.55,0,0,0
 24-34,0,0,1.93,1.94,0,2.85,0,35.6,0,0,0,0,6.63,0,2.6,621.08,0,1.55,0.77,0,0,2.75,0,1.38,176.29,0,8.25,0
 36-46,0,0,0,6.97,0,16.69,0,86.72,1.58,0,0,1.87,6.01,0,0,813.93,0,1.3,0,0,0,3.37,0,0,344.63,0,0.68,0
 48-58,0,0,0.46,5.28,0,46.68,0.43,133,1.96,0,0,0.38,12.87,0,0.6,481.96,0,1.22,0.45,0,0.59,0,0.65,0,252.64,0,1.62,0
 60-70,0,0,0,3.3,0,50.51,0,121.36,0,0.61,0,0,3.18,0.85,0.9,306.79,1.03,0,7.22,0,1.22,0,0,0,132.35,0,1.11,0
 72-82,0,0,0,1.19,0,38.07,1.23,85.52,0,0.51,0,0,9.67,0,0,146.45,0,0,0.52,0,0,0,1.03,0,45.26,0,0,0.81
 84-94,0,0,7.46,0,0,13.01,0,63.51,0,0.67,0,0,1.9,0,0.56,50.83,0,0,0,0,0,0,0,0,61.36,1.9,1.19,0
 96-106,0,0,0,2.51,0,2.22,0,34.67,0,0.74,0,0,9.76,0,0,34.25,0,0,0,0,0,0,0,0,10.12,0,0,0
108-118,0,0,0,1.21,7.25,8.36,0,52.89,0,0,0,0,1.52,0,0,41.74,0,0,2.08,0,0,0,0,0,6.73,0,0,0
120,0,0,0,2.09,0,12.16,0,116.08,0,0,1.72,0,7.65,0,0,84.76,0,0,0,0,0,0,0,0,12.02,0,0,0
