stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.44,0,0,0,3.74,0,0,4.76,3.43,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,3.97,0,0,0,1.18,0,2.91,2.26,0,478.71,7.86,0,0,0,0,0,0
 24-34,0,0.93,0.61,3.24,132.9,0,0,0,0,0.98,0,0,0,0,0,12.57,0,0,70.45,58.97,0,2.82,0.61,0,0,2.92,0,0.94,335.78,30.84,12.79,0,0,4.27,0,0
 36-46,0,1.71,0,15.8,253.07,0,0,3.46,0,0,0,0,0,0,0,1.53,0,0,35.91,90.99,2.62,0.61,0,0,0,0,0,0,357.39,8,6.36,0,0,6.74,0,0
 48-58,0,0.95,0,35.92,166.77,0,0.39,3.59,0,3.93,0,0,10.22,0,0,7.86,2.57,0,29.96,85.87,0,0,0,0,0,0,0,0,202.87,0,19.33,0,0,3.59,0,7.18
 60-70,0,0,0,27.95,158.06,0,0,1.13,0,0.61,0,0,0,0,0,19.61,0,0,29.07,71.58,0,0,0,4.86,0,4.79,0,0,114.98,0,22.09,0,0,0,0,0
 72-82,0,2.99,0,36.78,177.54,1.9,0,5.09,0,0,0,2.05,0,0,0,20.51,0,0,31.6,71.55,0,0,0,0,0,7.69,0,0,81.49,0,16.9,0,0,3.37,0,0
 84-94,0,12.36,14.58,55.29,223.44,1.87,0,0,0,0,0.55,0,0,1.05,0,8.06,0,0,12.88,67.8,0,0,0,0,0,13.8,0,0,101.46,0,14.08,2,0,3.65,0,5.94
 96-106,0.81,4.93,30.58,86.64,324.7,2,0,13.34,1.59,3.13,3.01,0,0,1.84,0.77,29.46,5.93,0,27.38,74.44,1.66,2.31,2.48,3.61,0,10.76,0,0,143.53,0,10.61,0,2.69,2.79,2.24,11
108-118,0,5.22,7.36,55.8,280.29,0,0,10.17,0,2.89,0,0,0,0,0,34.8,0,0,33.3,66.61,0,0,0,0,1.8,2.31,0,0,131.25,0,1.73,0.68,0,5.43,0,0
120,0,11.44,15.07,38.2,193.06,0,0,14.88,1.18,1.85,2.29,0,0,0,0,46.03,0,5.9,40.95,133.2,0,0,0,0,0,12.59,4.48,0,73.82,0,0,0,0,6.48,0,0
