stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,mesenchyme,neural,spinal.cord
  5-6,34.72,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.17,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.78,0
 24-34,0,0,0,0,0,0,0,0,0.62,0
 36-46,0,0,0,0,0,0.65,0,0,6.61,0.72
 48-58,0,0,0,0,0,4.82,0.44,0,6.43,0
 60-70,0,0,0,0,0,68.21,0,0,43.3,2.53
 72-82,0,0,0,0,0,42.88,3.9,5.28,50.75,0
 84-94,0,0,0,0,0,40.43,1.64,0,25.19,0
 96-106,0,0,2.84,0,0,48.59,2.17,0,54.23,0
108-118,0,0.55,2.92,0.96,0.45,25.1,1.64,1.93,30.57,0
120,0,0,0,0,0,28.45,0,0,17.98,6.95
