stage,neural,olfactory,periderm,spinal.cord,vasculature
 14-21,0,0,1.44,0,0
 24-34,1.16,0,0,1.14,0
 36-46,2.59,0,0,0,0
 48-58,2.68,0.88,0,0,0
 60-70,7.13,0,0,0,0
 72-82,0.93,0,0,0,1.53
 84-94,2.8,0,0,0,0
 96-106,1.36,0,0,0,0
108-118,2.43,0,0,0,0
120,3,0,0,0,0
